anio,ipc_18
1962.0,3.863184992478536e-14
1963.0,4.8666489236537415e-14
1964.0,5.944336134775048e-14
1965.0,7.644135598812581e-14
1966.0,1.0079813454820178e-13
1967.0,1.3025205846797314e-13
1968.0,1.5138801888129654e-13
1969.0,1.628603899071168e-13
1970.0,1.8497467484586207e-13
1971.0,2.4920328507948234e-13
1972.0,3.9487473682167976e-13
1973.0,6.329973698102805e-13
1974.0,7.862865874627233e-13
1975.0,2.223562701279655e-12
1976.0,1.2096449331635978e-11
1977.0,3.339003770379513e-11
1978.0,9.199250042399375e-11
1979.0,2.387307052955516e-10
1980.0,4.792857572202128e-10
1981.0,9.800301889961748e-10
1982.0,2.594910954518834e-09
1983.0,1.1516202688432593e-08
1984.0,8.369211238631533e-08
1985.0,6.46255499258871e-07
1986.0,1.2284685196323461e-06
1987.0,2.8418722323829473e-06
1988.0,1.258818630324046e-05
1989.0,0.00040023567634823987
1990.0,0.009661539997048748
1991.0,0.026247668767528796
1992.0,0.0327833305762449
1993.0,0.03626214168808563
1994.0,0.037776920106575566
1995.0,0.039052308966680535
1996.0,0.03911310646925639
1997.0,0.03931985818757383
1998.0,0.03968343691624254
1999.0,0.03922045302242034
2000.0,0.03885231180582565
2001.0,0.038438393302769644
2002.0,0.04838182825389189
2003.0,0.05488572451056613
2004.0,0.05730932328517764
2005.0,0.06283489501643001
2006.0,0.0696825181531
2007.0,0.07879872942360158
2008.0,0.09663971229154261
2009.0,0.11098900696862518
2010.0,0.13968073653950458
2011.0,0.172996874682735
2012.0,0.2138958172700075
2013.0,0.26930686005767707
2014.0,0.38426265104099494
2015.0,0.48635406176914725
2016.0,0.6757814893778542
2017.0,0.834016110429706
2018.0,1.0
2019.0,1.5368687098527567
2020.0,2.181855633709362
2021.0,3.236371359384806
2022.0,5.577043505311
2023.0,13.011665181064144
2024.0,41.59661847216152
