anio,fecha,ipc_03,ipc_70,ipc_18
1962.0,1962-01-01,7.039553641069275e-13,0.20884940036779073,3.863184992478536e-14
1963.0,1963-01-01,8.868080668415703e-13,0.2630981201999183,4.8666489236537415e-14
1964.0,1964-01-01,1.0831858469829114e-12,0.3213594585166005,5.944336134775048e-14
1965.0,1965-01-01,1.3929258550190266e-12,0.41325309019639467,7.644135598812581e-14
1966.0,1966-01-01,1.836758727457515e-12,0.5449293782091849,1.0079813454820178e-13
1967.0,1967-01-01,2.3734725472121766e-12,0.7041615755049233,1.3025205846797314e-13
1968.0,1968-01-01,2.7586151882578177e-12,0.818425652092358,1.5138801888129654e-13
1969.0,1969-01-01,2.9676664539459686e-12,0.8804469587138191,1.628603899071168e-13
1970.0,1970-01-01,3.3706362712425253e-12,1.0,1.8497467484586207e-13
1971.0,1971-01-01,4.541019641211089e-12,1.3472292100912813,2.4920328507948234e-13
1972.0,1972-01-01,7.195466685575172e-12,2.134750268655565,3.9487473682167976e-13
1973.0,1973-01-01,1.1534573022288402e-11,3.4220758616699944,6.329973698102805e-13
1974.0,1974-01-01,1.4327832139733863e-11,4.2507796708815935,7.862865874627233e-13
1975.0,1975-01-01,4.051809307712307e-11,12.02090341898172,2.223562701279655e-12
1976.0,1976-01-01,2.2042331418847053e-10,65.39516472574343,1.2096449331635978e-11
1977.0,1977-01-01,6.084382755442104e-10,180.51140098837197,3.339003770379513e-11
1978.0,1978-01-01,1.6763011416010776e-09,497.32483920109803,9.199250042399375e-11
1979.0,1979-01-01,4.350186721501335e-09,1290.6129203604978,2.387307052955516e-10
1980.0,1980-01-01,8.733616960930299e-09,2591.088523980906,4.792857572202128e-10
1981.0,1981-01-01,1.7858257108416647e-08,5298.185764147585,9.800301889961748e-10
1982.0,1982-01-01,4.7284856649885364e-08,14028.466095054107,2.594910954518834e-09
1983.0,1983-01-01,2.0984997281902196e-07,62258.26696562085,1.1516202688432593e-08
1984.0,1984-01-01,1.5250502257202958e-06,452451.73403362004,8.369211238631533e-08
1985.0,1985-01-01,1.1776164645820038e-05,3493751.23809457,6.46255499258871e-07
1986.0,1986-01-01,2.2385337635018556e-05,6641279.5192424,1.2284685196323461e-06
1987.0,1987-01-01,5.1785022099316924e-05,15363574.688000167,2.8418722323829473e-06
1988.0,1988-01-01,0.00022938381904559314,68053566.32593136,1.258818630324046e-05
1989.0,1989-01-01,0.007293154529769079,2163732287.5780325,0.00040023567634823987
1990.0,1990-01-01,0.17605403105722184,52231690663.0577,0.009661539997048748
1991.0,1991-01-01,0.4782889574322248,141898715537.1446,0.026247668767528796
1992.0,1992-01-01,0.597382767259921,177231454000.73276,0.0327833305762449
1993.0,1993-01-01,0.6607741851615495,196038412924.91843,0.03626214168808563
1994.0,1994-01-01,0.6883767047200359,204227525406.13882,0.037776920106575566
1995.0,1995-01-01,0.7116170318371977,211122463111.35574,0.039052308966680535
1996.0,1996-01-01,0.7127248930487603,211451143254.33487,0.03911310646925639
1997.0,1997-01-01,0.7164923538726984,212568873119.19186,0.03931985818757383
1998.0,1998-01-01,0.723117540003309,214534432615.22385,0.03968343691624254
1999.0,1999-01-01,0.7146809780424968,212031474336.16214,0.03922045302242034
2000.0,2000-01-01,0.7079726535725258,210041249366.7091,0.03885231180582565
2001.0,2001-01-01,0.7004301685220639,207803545727.5438,0.038438393302769644
2002.0,2002-01-01,0.881620931716656,261559201518.8462,0.04838182825389189
2003.0,2003-01-01,1.0001359048902125,296720210787.2441,0.05488572451056613
2004.0,2004-01-01,1.0442990853009997,309822538317.3834,0.05730932328517764
2005.0,2005-01-01,1.1449868822236402,339694582887.03485,0.06283489501643001
2006.0,2006-01-01,1.2697652981635112,376713829669.74207,0.0696825181531
2007.0,2007-01-01,1.4358822673662814,425997393909.5389,0.07879872942360158
2008.0,2008-01-01,1.7609833333333331,522448342574.85095,0.09663971229154261
2009.0,2009-01-01,2.0224583333333332,600022716953.6124,0.11098900696862518
2010.0,2010-01-01,2.5452833333333333,755134380724.8177,0.13968073653950458
2011.0,2011-01-01,3.1523749999999997,935246269938.8008,0.172996874682735
2012.0,2012-01-01,3.897641666666667,1156351903028.0505,0.2138958172700075
2013.0,2013-01-01,4.90735,1455912060837.9949,0.26930686005767707
2014.0,2014-01-01,7.002091666666666,2077379789212.7556,0.38426265104099494
2015.0,2015-01-01,8.862416666666666,2629300806580.264,0.48635406176914725
2016.0,2016-01-01,12.314191666666666,3653373035746.5293,0.6757814893778542
2017.0,2017-01-01,15.197566666666667,4508812415130.261,0.834016110429706
2018.0,2018-01-01,18.22215,5406145467390.561,1.0
2019.0,2019-01-01,28.00505216124341,8308535809744.859,1.5368687098527567
2020.0,2020-01-01,39.75810063579705,11795428944678.428,2.181855633709362
2021.0,2021-01-01,58.97364436641384,17496294355330.797,3.236371359384806
2022.0,2022-01-01,101.62572331030283,30150308467677.027,5.577043505311
2023.0,2023-01-01,237.10051467912797,70342954741813.5,13.011665181064144
2024.0,2024-01-01,757.9798212924981,224877370412050.5,41.59661847216152
