anio,unidad,pbi,ganancia
1999,Millones de pesos corrientes,296231.75076924334,139835.6544664368
2000,Millones de pesos corrientes,299121.02445911936,145267.55396975827
2001,Millones de pesos corrientes,284874.369931254,138936.06039790408
2002,Millones de pesos corrientes,333830.71778017876,169352.32933835263
2003,Millones de pesos corrientes,404410.040573429,214940.30578599614
2004,Millones de pesos corrientes,485115.19472475466,250850.01627215097
2005,Millones de pesos corrientes,582538.1729372747,299193.89297715307
2006,Millones de pesos corrientes,715904.2717338484,364129.73985060607
2007,Millones de pesos corrientes,896980.174071903,453534.30364649964
2008,Millones de pesos corrientes,1149646.0905836355,581823.8166398524
2009,Millones de pesos corrientes,1247929.2689250198,545754.943017186
2010,Millones de pesos corrientes,1661720.9259445816,773503.3230459177
2011,Millones de pesos corrientes,2179024.1036307774,1003955.5681438238
2012,Millones de pesos corrientes,2637913.8482155497,1138597.7514097118
2013,Millones de pesos corrientes,3348308.488227206,1394018.9155138135
2014,Millones de pesos corrientes,4579086.425410098,2010866.0469197435
2015,Millones de pesos corrientes,5954510.895692342,2561525.1904003215
2016,Millones de pesos corrientes,8228159.556536429,3612431.171132827
2017,Millones de pesos corrientes,10660228.494808454,4641044.791806787
2018,Millones de pesos corrientes,14542722.148095284,6732350.582808398
2019,Millones de pesos corrientes,21447249.859798744,10024582.205944346
