"anio","empresa","sector","unidad","variable","valor"
2013,"petrobras_ar","downstream","Millones de pesos corrientes","activo",3240
2013,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1490
2013,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",2743
2013,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",239
2012,"petrobras_ar","upstream","Millones de pesos corrientes","activo",11048
2012,"petrobras_ar","downstream","Millones de pesos corrientes","activo",2658
2012,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1217
2012,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",2894
2012,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1030
2011,"petrobras_ar","upstream","Millones de pesos corrientes","activo",9029
2011,"petrobras_ar","downstream","Millones de pesos corrientes","activo",3330
2011,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",810
2011,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",7490
2011,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1511
2010,"petrobras_ar","upstream","Millones de pesos corrientes","activo",8764
2010,"petrobras_ar","downstream","Millones de pesos corrientes","activo",3134
2010,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1962
2010,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",6910
2010,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1989
2009,"petrobras_ar","upstream","Millones de pesos corrientes","activo",8676
2009,"petrobras_ar","downstream","Millones de pesos corrientes","activo",2890
2009,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",2172
2009,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",6600
2009,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",2745
2008,"petrobras_ar","upstream","Millones de pesos corrientes","activo",10185
2008,"petrobras_ar","downstream","Millones de pesos corrientes","activo",3066
2008,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",2257
2008,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",5985
2008,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1598
2007,"petrobras_ar","upstream","Millones de pesos corrientes","activo",8354
2007,"petrobras_ar","downstream","Millones de pesos corrientes","activo",2937
2007,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",2059
2007,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",5314
2007,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",2730
2006,"petrobras_ar","upstream","Millones de pesos corrientes","activo",9752
2006,"petrobras_ar","downstream","Millones de pesos corrientes","activo",2549
2006,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1710
2006,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",5124
2006,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1354
2005,"petrobras_ar","upstream","Millones de pesos corrientes","activo",9364
2005,"petrobras_ar","downstream","Millones de pesos corrientes","activo",2165
2005,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1486
2005,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",5186
2005,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",684
2004,"petrobras_ar","upstream","Millones de pesos corrientes","activo",8036
2004,"petrobras_ar","downstream","Millones de pesos corrientes","activo",887
2004,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1380
2004,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",5334
2004,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",985
2003,"petrobras_ar","upstream","Millones de pesos corrientes","activo",7810
2003,"petrobras_ar","downstream","Millones de pesos corrientes","activo",642
2003,"petrobras_ar","petroquimica","Millones de pesos corrientes","activo",1100
2003,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","activo",5557
2003,"petrobras_ar","adm_central","Millones de pesos corrientes","activo",1035
