Report generated on: 09-17-2020 11:15:16
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.5-2-ARG-TBPD.A","    Consumption (Mb/d)","498.999999999","482.999999999","468.000000001","477","463.000000001","415","447.9","480","476.6","433.5","413","423.7","445","469.8","458.2","452.8","478.7","477.8","492.2","497.3","556.3542983606557","522.6880339726029","469.58510465753426","496.42834520547945","549.1935453551913","561.6110871232873","619.310108493151","627.3488832876708","684.7698721311481","658.006569863013","718.4010284931503","711.1012063013698","757.4252612021863","763.8709402739728","763.6902783561645","793.612832980822","776.904164","751.860712","","",""
"INTL.54-2-ARG-TBPD.A","        Refined petroleum products (Mb/d)","498.999999999","482.999999999","468.000000001","477","463.000000001","415","447.9","480","476.6","433.5","413","423.7","445","469.8","458.2","452.8","478.7","477.8","492.2","497.3","556.3542983606557","522.6880339726029","469.58510465753426","496.42834520547945","549.1935453551913","561.6110871232873","619.310108493151","627.3488832876708","684.7698721311481","658.006569863013","718.4010284931503","711.1012063013698","757.4252612021863","763.8709402739728","763.6902783561645","793.612832980822","776.904164","751.860712","","",""
"INTL.62-2-ARG-TBPD.A","            Motor gasoline (Mb/d)","120.321500335","116.463496316","112.846617549","115.016744809","111.640991293","100.066979236","108","108","100","99","91","102","109","124","125","120","128","103","94","87","84.064781420765","80.2053698630137","62.0703561643836","53.9376438356164","56.2840163934426","54.4985205479452","78.242301369863","79.7847123287671","99.0272404371585","103.575232876712","114.979726027397","117.854219178082","133.939644808743","138.793616438356","122.341232876712","146","148","159","","",""
"INTL.63-2-ARG-TBPD.A","            Jet fuel (Mb/d)","15.597231525","15.097119893","14.628265238","14.909578031","14.471980353","12.971645457","14","16","14","13","14","13","13","16","20","21","31","26","33","31","38.4366666666667","28.1569315068493","23.4206575342466","23.2251232876712","25.1983333333333","25.7670684931507","24.6155890410959","26.3319452054795","27.1266666666667","28.461095890411","29.5039452054795","29.1997808219178","29.6616666666667","30.6771506849315","32.5673150684932","30","32","33","","",""
"INTL.64-2-ARG-TBPD.A","            Kerosene (Mb/d)","9.803974101","9.489618218","9.194909578","9.371734762","9.096673365","8.153605716","8.8","11","9.6","9.5","11","8.7","10","7.8","7.2","6.8","5.7","5.8","5.2","5.3","2.23874316939891","1.77895890410959","0.931835616438356","0.592986301369863","0.612486338797814","0.50827397260274","0.487095890410959","0.444739726027397","0.16896174863388","0.232958904109589","0.931835616438356","0.868301369863014","0.29568306010929","0.25413698630137","0.487095890410959","0.55063","0.304164","0.260712","","",""
"INTL.65-2-ARG-TBPD.A","            Distillate fuel oil (Mb/d)","164.885018977","159.598124581","154.641661085","157.615539183","152.989506586","137.128823398","148","154","148","139","127","141","149","153","164","167","187","201","213","217","212.48082531694","179.673557019178","173.288284153425","186.966081452055","198.585025650273","210.308537216438","214.543733008219","226.181375649315","243.900738021858","234.199297780822","230.89223740274","241.601726887671","226.396797098361","238.538046619178","232.000179063014","259","258","250","","",""
"INTL.66-2-ARG-TBPD.A","            Residual fuel oil (Mb/d)","108.066532708","104.601473543","101.352980576","103.302076356","100.270149587","89.874972092","97","99","88","68","63","65","49","54","43","36","39","51","49","44","42.0092250163934","38.1435851835616","25.8679048109589","27.8277867945205","51.060381442623","47.5651549150685","59.6100497753425","70.4799983342466","96.1432996065574","71.2662014794521","77.110572690411","81.9138649972603","93.2650019344262","88.2362823452055","98.9781195287671","85","71","45","","",""
"INTL.67-2-ARG-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","2.339584729","2.264567984","2.194239786","2.236436705","2.170797053","1.945746818","2.1","32","48","41","42","46","50","12","51","56","46","35","10","58","55.9237553606557","46.5590087232877","41.7959068821918","45.4824605753425","54.5647423934426","52.4554317479452","79.5956653041096","52.9573007780822","48.2319421092896","49.2973858356164","52.5667029150685","38.2320882136986","59.5157764098361","60.2707098958904","56.2513904273973","54","55","52","","",""
"INTL.68-2-ARG-TBPD.A","            Other petroleum liquids (Mb/d)","77.986157624","75.485599464","73.141326189","74.547890154","72.359901764","64.858227283","70","60","69","64","65","48","65","103","48","46","42","56","88","55","121.200301409836","148.170622772603","142.21015949589","158.396262958904","162.888559803279","170.508100230137","162.21567410411","171.168811265753","170.171023540984","170.97439709589","212.416008635616","201.431224832877","214.350691224044","207.10099730411","221.06494550137","219.062202980822","212.6","212.6","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
