Año;Mes;Producto;Datos;Total
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;4000
;;;Suma de ValorFOB;1524000
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;14651
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2294582
;;SOLVENTES HEXANO;Suma de M3;1094
;;;Suma de Toneladas;741
;;;Suma de ValorFOB;223386
;9;ADITIVOS PARA COMBUSTIBLES;Suma de M3;145
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;362632
;;AEROKEROSENE;Suma de M3;19656
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2847502
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;51
;;;Suma de ValorFOB;11640
;;BASES LUBRICANTES;Suma de M3;1847
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;790825
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;1346
;;;Suma de ValorFOB;130554
;;GAS OIL;Suma de M3;102718
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5179509
;;PETROLEO;Suma de M3;129360
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;14069842.5
;10;ADITIVOS LUBRICANTES;Suma de M3;265
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;174794
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;226
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;407070
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;2996
;;;Suma de ValorFOB;363642.375
;;GAS OIL;Suma de M3;20959
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;0
;11;ADITIVOS PARA COMBUSTIBLES;Suma de M3;658
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1642421
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;74
;;;Suma de ValorFOB;18269
;;BASES LUBRICANTES;Suma de M3;12300
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3236607
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;1920
;;;Suma de ValorFOB;270191.25
;;GAS OIL;Suma de M3;106451
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;15022885
;;METIL TERBUTIL ETER (MTBE);Suma de M3;3000
;;;Suma de Toneladas;2250
;;;Suma de ValorFOB;1194000
;;PETROLEO;Suma de M3;106672
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;12082368
