refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1990,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",3884.0,12125.0,12125.0,S2,natural_gas_sitc_bol
1991,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",2666.0,22000.0,22000.0,S2,natural_gas_sitc_bol
1992,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",8750.0,25000.0,25000.0,S2,natural_gas_sitc_bol
1993,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",2139.0,10000.0,10000.0,S2,natural_gas_sitc_bol
1995,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",2483.0,9937.0,9937.0,S2,natural_gas_sitc_bol
1998,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",3323.0,554.0,554.0,S2,natural_gas_sitc_bol
1999,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",3322.0,359.0,359.0,S2,natural_gas_sitc_bol
2000,X,Export,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",2059.0,170.0,170.0,S2,natural_gas_sitc_bol
