anio,unidad,tipo_de_renta,valor,autor
1997,Millones de USD,renta_total,1411.73657011952,Fárfaro Ruiz y Bil
1998,Millones de USD,renta_total,970.200401656871,Fárfaro Ruiz y Bil
1999,Millones de USD,renta_total,1141.99078599884,Fárfaro Ruiz y Bil
2000,Millones de USD,renta_total,1528.93587213543,Fárfaro Ruiz y Bil
2001,Millones de USD,renta_total,1561.93721629014,Fárfaro Ruiz y Bil
2002,Millones de USD,renta_total,742.614692415865,Fárfaro Ruiz y Bil
2003,Millones de USD,renta_total,1244.30943022292,Fárfaro Ruiz y Bil
2004,Millones de USD,renta_total,2125.39008105746,Fárfaro Ruiz y Bil
2005,Millones de USD,renta_total,4586.3126328613,Fárfaro Ruiz y Bil
2006,Millones de USD,renta_total,6271.47527396452,Fárfaro Ruiz y Bil
2007,Millones de USD,renta_total,8264.06554172655,Fárfaro Ruiz y Bil
2008,Millones de USD,renta_total,15194.0111395816,Fárfaro Ruiz y Bil
2009,Millones de USD,renta_total,6397.06917993272,Fárfaro Ruiz y Bil
2010,Millones de USD,renta_total,10444.0258223631,Fárfaro Ruiz y Bil
2011,Millones de USD,renta_total,15594.1683481734,Fárfaro Ruiz y Bil
