"anio","variable","unidad","codigo_variable","valor","fuente"
2012,"Producción de petróleo crudo","barriles","Q_crudo_sesco",194697351.555571,"Sec. Energía - SESCO"
2013,"Producción de petróleo crudo","barriles","Q_crudo_sesco",191127640.885773,"Sec. Energía - SESCO"
2014,"Producción de petróleo crudo","barriles","Q_crudo_sesco",187966208.408129,"Sec. Energía - SESCO"
2015,"Producción de petróleo crudo","barriles","Q_crudo_sesco",186094035.064678,"Sec. Energía - SESCO"
2016,"Producción de petróleo crudo","barriles","Q_crudo_sesco",178180149.422684,"Sec. Energía - SESCO"
2017,"Producción de petróleo crudo","barriles","Q_crudo_sesco",166357510.9766,"Sec. Energía - SESCO"
2018,"Producción de petróleo crudo","barriles","Q_crudo_sesco",169528964.576828,"Sec. Energía - SESCO"
2019,"Producción de petróleo crudo","barriles","Q_crudo_sesco",175152024.2242,"Sec. Energía - SESCO"
2020,"Producción de petróleo crudo","barriles","Q_crudo_sesco",164579561.175696,"Sec. Energía - SESCO"
1911,"Producción de petróleo crudo","barriles","Q_crudo_anuario",12579.6,"Anuario de combustibles"
1912,"Producción de petróleo crudo","barriles","Q_crudo_anuario",44028.6,"Anuario de combustibles"
1913,"Producción de petróleo crudo","barriles","Q_crudo_anuario",132085.8,"Anuario de combustibles"
1914,"Producción de petróleo crudo","barriles","Q_crudo_anuario",276751.2,"Anuario de combustibles"
1915,"Producción de petróleo crudo","barriles","Q_crudo_anuario",515763.6,"Anuario de combustibles"
1916,"Producción de petróleo crudo","barriles","Q_crudo_anuario",867992.4,"Anuario de combustibles"
1917,"Producción de petróleo crudo","barriles","Q_crudo_anuario",1207641.6,"Anuario de combustibles"
1918,"Producción de petróleo crudo","barriles","Q_crudo_anuario",1352307,"Anuario de combustibles"
1919,"Producción de petróleo crudo","barriles","Q_crudo_anuario",1327147.8,"Anuario de combustibles"
1920,"Producción de petróleo crudo","barriles","Q_crudo_anuario",1647927.6,"Anuario de combustibles"
1921,"Producción de petróleo crudo","barriles","Q_crudo_anuario",2056764.6,"Anuario de combustibles"
1922,"Producción de petróleo crudo","barriles","Q_crudo_anuario",2861859,"Anuario de combustibles"
1923,"Producción de petróleo crudo","barriles","Q_crudo_anuario",3333594,"Anuario de combustibles"
1924,"Producción de petróleo crudo","barriles","Q_crudo_anuario",4660741.8,"Anuario de combustibles"
1925,"Producción de petróleo crudo","barriles","Q_crudo_anuario",5987889.6,"Anuario de combustibles"
1926,"Producción de petróleo crudo","barriles","Q_crudo_anuario",7849670.4,"Anuario de combustibles"
1927,"Producción de petróleo crudo","barriles","Q_crudo_anuario",8629605.6,"Anuario de combustibles"
1928,"Producción de petróleo crudo","barriles","Q_crudo_anuario",9069891.6,"Anuario de combustibles"
1929,"Producción de petróleo crudo","barriles","Q_crudo_anuario",9390671.4,"Anuario de combustibles"
1930,"Producción de petróleo crudo","barriles","Q_crudo_anuario",9000703.8,"Anuario de combustibles"
1931,"Producción de petróleo crudo","barriles","Q_crudo_anuario",11705317.8,"Anuario de combustibles"
1932,"Producción de petróleo crudo","barriles","Q_crudo_anuario",13139392.2,"Anuario de combustibles"
1933,"Producción de petróleo crudo","barriles","Q_crudo_anuario",13692894.6,"Anuario de combustibles"
1934,"Producción de petróleo crudo","barriles","Q_crudo_anuario",14026254,"Anuario de combustibles"
1935,"Producción de petróleo crudo","barriles","Q_crudo_anuario",14296715.4,"Anuario de combustibles"
1936,"Producción de petróleo crudo","barriles","Q_crudo_anuario",15460328.4,"Anuario de combustibles"
1937,"Producción de petróleo crudo","barriles","Q_crudo_anuario",16353480,"Anuario de combustibles"
1938,"Producción de petróleo crudo","barriles","Q_crudo_anuario",17076807,"Anuario de combustibles"
1939,"Producción de petróleo crudo","barriles","Q_crudo_anuario",18611518.2,"Anuario de combustibles"
1940,"Producción de petróleo crudo","barriles","Q_crudo_anuario",20605384.8,"Anuario de combustibles"
1941,"Producción de petróleo crudo","barriles","Q_crudo_anuario",22014300,"Anuario de combustibles"
1942,"Producción de petróleo crudo","barriles","Q_crudo_anuario",23706256.2,"Anuario de combustibles"
1943,"Producción de petróleo crudo","barriles","Q_crudo_anuario",24832130.4,"Anuario de combustibles"
1944,"Producción de petróleo crudo","barriles","Q_crudo_anuario",24228309.6,"Anuario de combustibles"
1945,"Producción de petróleo crudo","barriles","Q_crudo_anuario",22882292.4,"Anuario de combustibles"
1946,"Producción de petróleo crudo","barriles","Q_crudo_anuario",20800368.6,"Anuario de combustibles"
1947,"Producción de petróleo crudo","barriles","Q_crudo_anuario",21844475.4,"Anuario de combustibles"
1948,"Producción de petróleo crudo","barriles","Q_crudo_anuario",23221941.6,"Anuario de combustibles"
1949,"Producción de petróleo crudo","barriles","Q_crudo_anuario",22586671.8,"Anuario de combustibles"
1950,"Producción de petróleo crudo","barriles","Q_crudo_anuario",23460954,"Anuario de combustibles"
1951,"Producción de petróleo crudo","barriles","Q_crudo_anuario",24467322,"Anuario de combustibles"
1952,"Producción de petróleo crudo","barriles","Q_crudo_anuario",24819550.8,"Anuario de combustibles"
1953,"Producción de petróleo crudo","barriles","Q_crudo_anuario",28499083.8,"Anuario de combustibles"
1954,"Producción de petróleo crudo","barriles","Q_crudo_anuario",29574639.6,"Anuario de combustibles"
1955,"Producción de petróleo crudo","barriles","Q_crudo_anuario",30505530,"Anuario de combustibles"
1956,"Producción de petróleo crudo","barriles","Q_crudo_anuario",31015003.8,"Anuario de combustibles"
1957,"Producción de petróleo crudo","barriles","Q_crudo_anuario",33952340.4,"Anuario de combustibles"
1958,"Producción de petróleo crudo","barriles","Q_crudo_anuario",35656876.2,"Anuario de combustibles"
1959,"Producción de petróleo crudo","barriles","Q_crudo_anuario",44575812.6,"Anuario de combustibles"
1960,"Producción de petróleo crudo","barriles","Q_crudo_anuario",63860339.4,"Anuario de combustibles"
1961,"Producción de petróleo crudo","barriles","Q_crudo_anuario",84459434.4,"Anuario de combustibles"
1962,"Producción de petróleo crudo","barriles","Q_crudo_anuario",98208937.2,"Anuario de combustibles"
1963,"Producción de petróleo crudo","barriles","Q_crudo_anuario",97139671.2,"Anuario de combustibles"
1964,"Producción de petróleo crudo","barriles","Q_crudo_anuario",100278281.4,"Anuario de combustibles"
1965,"Producción de petróleo crudo","barriles","Q_crudo_anuario",99536085,"Anuario de combustibles"
1966,"Producción de petróleo crudo","barriles","Q_crudo_anuario",104756619,"Anuario de combustibles"
1967,"Producción de petróleo crudo","barriles","Q_crudo_anuario",114675633.6,"Anuario de combustibles"
1968,"Producción de petróleo crudo","barriles","Q_crudo_anuario",125500379.4,"Anuario de combustibles"
1969,"Producción de petróleo crudo","barriles","Q_crudo_anuario",126846396.6,"Anuario de combustibles"
1970,"Producción de petróleo crudo","barriles","Q_crudo_anuario",143420019.6,"Anuario de combustibles"
1971,"Producción de petróleo crudo","barriles","Q_crudo_anuario",154458618.6,"Anuario de combustibles"
1972,"Producción de petróleo crudo","barriles","Q_crudo_anuario",158471511,"Anuario de combustibles"
1973,"Producción de petróleo crudo","barriles","Q_crudo_anuario",153722712,"Anuario de combustibles"
1974,"Producción de petróleo crudo","barriles","Q_crudo_anuario",151093575.6,"Anuario de combustibles"
1975,"Producción de petróleo crudo","barriles","Q_crudo_anuario",144464126.4,"Anuario de combustibles"
1976,"Producción de petróleo crudo","barriles","Q_crudo_anuario",145590000.6,"Anuario de combustibles"
1977,"Producción de petróleo crudo","barriles","Q_crudo_anuario",157540620.6,"Anuario de combustibles"
1978,"Producción de petróleo crudo","barriles","Q_crudo_anuario",165138699,"Anuario de combustibles"
1979,"Producción de petróleo crudo","barriles","Q_crudo_anuario",172554373.2,"Anuario de combustibles"
1980,"Producción de petróleo crudo","barriles","Q_crudo_anuario",179674426.8,"Anuario de combustibles"
1981,"Producción de petróleo crudo","barriles","Q_crudo_anuario",181473309.6,"Anuario de combustibles"
1982,"Producción de petróleo crudo","barriles","Q_crudo_anuario",179070606,"Anuario de combustibles"
1983,"Producción de petróleo crudo","barriles","Q_crudo_anuario",179095765.2,"Anuario de combustibles"
1984,"Producción de petróleo crudo","barriles","Q_crudo_anuario",175095452.4,"Anuario de combustibles"
1985,"Producción de petróleo crudo","barriles","Q_crudo_anuario",167780415,"Anuario de combustibles"
1986,"Producción de petróleo crudo","barriles","Q_crudo_anuario",158370874.2,"Anuario de combustibles"
1987,"Producción de petróleo crudo","barriles","Q_crudo_anuario",156345558.6,"Anuario de combustibles"
1988,"Producción de petróleo crudo","barriles","Q_crudo_anuario",164308445.4,"Anuario de combustibles"
1989,"Producción de petróleo crudo","barriles","Q_crudo_anuario",168019427.4,"Anuario de combustibles"
1990,"Producción de petróleo crudo","barriles","Q_crudo_anuario",176139559.2,"Anuario de combustibles"
1991,"Producción de petróleo crudo","barriles","Q_crudo_anuario",180020365.8,"Anuario de combustibles"
1992,"Producción de petróleo crudo","barriles","Q_crudo_anuario",202820890.8,"Anuario de combustibles"
1950,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",23460954,"Sec. Energía - SESCO (serie histórica)"
1951,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",24464806.08,"Sec. Energía - SESCO (serie histórica)"
1952,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",24819550.8,"Sec. Energía - SESCO (serie histórica)"
1953,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",28501599.72,"Sec. Energía - SESCO (serie histórica)"
1954,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",29572123.68,"Sec. Energía - SESCO (serie histórica)"
1955,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",30504272.04,"Sec. Energía - SESCO (serie histórica)"
1956,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",31011858.9,"Sec. Energía - SESCO (serie histórica)"
1957,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",33951711.42,"Sec. Energía - SESCO (serie histórica)"
1958,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",35656247.22,"Sec. Energía - SESCO (serie histórica)"
1959,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",44578328.52,"Sec. Energía - SESCO (serie histórica)"
1960,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",63859811.0568,"Sec. Energía - SESCO (serie histórica)"
1961,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",84461610.6708,"Sec. Energía - SESCO (serie histórica)"
1962,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",98205911.8062,"Sec. Energía - SESCO (serie histórica)"
1963,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",97140620.9598,"Sec. Energía - SESCO (serie histórica)"
1964,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",100275727.7412,"Sec. Energía - SESCO (serie histórica)"
1965,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",98276326.1172,"Sec. Energía - SESCO (serie histórica)"
1966,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",104759675.8428,"Sec. Energía - SESCO (serie histórica)"
1967,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",114673312.6638,"Sec. Energía - SESCO (serie histórica)"
1968,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",125488170.8982,"Sec. Energía - SESCO (serie histórica)"
1969,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",130081536.3606,"Sec. Energía - SESCO (serie histórica)"
1970,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",143397621.6222,"Sec. Energía - SESCO (serie histórica)"
1971,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",154510553.4786,"Sec. Energía - SESCO (serie histórica)"
1972,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",158461780.6794,"Sec. Energía - SESCO (serie histórica)"
1973,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",153728574.0936,"Sec. Energía - SESCO (serie histórica)"
1974,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",151095236.1072,"Sec. Energía - SESCO (serie histórica)"
1975,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",144465535.3152,"Sec. Energía - SESCO (serie histórica)"
1976,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",145592912.7774,"Sec. Energía - SESCO (serie histórica)"
1977,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",157542721.3932,"Sec. Energía - SESCO (serie histórica)"
1978,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",165137944.224,"Sec. Energía - SESCO (serie histórica)"
1979,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",172553838.567,"Sec. Energía - SESCO (serie histórica)"
1980,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",179675709.9192,"Sec. Energía - SESCO (serie histórica)"
1981,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",181475630.5362,"Sec. Energía - SESCO (serie histórica)"
1982,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",179071260.1392,"Sec. Energía - SESCO (serie histórica)"
1983,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",179096469.6576,"Sec. Energía - SESCO (serie histórica)"
1984,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",175096653.7518,"Sec. Energía - SESCO (serie histórica)"
1985,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",167780798.6778,"Sec. Energía - SESCO (serie histórica)"
1986,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",158370534.5508,"Sec. Energía - SESCO (serie histórica)"
1987,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",156346426.5924,"Sec. Energía - SESCO (serie histórica)"
1988,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",164306432.664,"Sec. Energía - SESCO (serie histórica)"
1989,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",168021213.7032,"Sec. Energía - SESCO (serie histórica)"
1990,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",176139785.6328,"Sec. Energía - SESCO (serie histórica)"
1991,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",180017346.696,"Sec. Energía - SESCO (serie histórica)"
1992,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",202821544.9392,"Sec. Energía - SESCO (serie histórica)"
1993,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",216666596.091,"Sec. Energía - SESCO (serie histórica)"
1994,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",243619496.0958,"Sec. Energía - SESCO (serie histórica)"
1995,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",262532037.834,"Sec. Energía - SESCO (serie histórica)"
1996,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",286623720.3984,"Sec. Energía - SESCO (serie histórica)"
1997,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",304444925.2284,"Sec. Energía - SESCO (serie histórica)"
1998,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",309128920.419,"Sec. Energía - SESCO (serie histórica)"
1999,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",280944389.517,"Sec. Energía - SESCO (serie histórica)"
2000,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",272277680.3868,"Sec. Energía - SESCO (serie histórica)"
2001,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",280631962.5714,"Sec. Energía - SESCO (serie histórica)"
2002,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",276503268.6636,"Sec. Energía - SESCO (serie histórica)"
2003,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",270191278.2492,"Sec. Energía - SESCO (serie histórica)"
2004,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",254315156.3304,"Sec. Energía - SESCO (serie histórica)"
2005,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",242613090.357,"Sec. Energía - SESCO (serie histórica)"
2006,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",241190771.5932,"Sec. Energía - SESCO (serie histórica)"
2007,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",238412145.5166,"Sec. Energía - SESCO (serie histórica)"
2008,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",236452111.7508,"Sec. Energía - SESCO (serie histórica)"
2009,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",227941980.9018,"Sec. Energía - SESCO (serie histórica)"
2010,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",222743303.9568,"Sec. Energía - SESCO (serie histórica)"
2011,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",209615629.6542,"Sec. Energía - SESCO (serie histórica)"
2012,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",208440946.6062,"Sec. Energía - SESCO (serie histórica)"
2013,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",204173770.1718,"Sec. Energía - SESCO (serie histórica)"
2014,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",201146495.7216,"Sec. Energía - SESCO (serie histórica)"
2015,"Producción de petróleo crudo","barriles","Q_crudo_sec_energia",201105366.7194,"Sec. Energía - SESCO (serie histórica)"
1980,"Producción de petróleo crudo","barriles","Q_crudo_eia",179215000,"EIA"
