refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1985,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",379657216.0,1686497536.0,1686497536.0,S2,natural_gas_sitc_s2_bol
1980,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",224088784.0,1549264768.0,1549264768.0,S2,natural_gas_sitc_s2_bol
1981,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",326382592.0,1708322304.0,1708322304.0,S2,natural_gas_sitc_s2_bol
1982,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",378544928.0,1751225856.0,1751225856.0,S2,natural_gas_sitc_s2_bol
1983,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",381518848.0,1693104256.0,1693104256.0,S2,natural_gas_sitc_s2_bol
1984,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",383822560.0,1679656960.0,1679656960.0,S2,natural_gas_sitc_s2_bol
1986,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",342307200.0,1692241920.0,1692241920.0,S2,natural_gas_sitc_s2_bol
1987,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",291572544.0,1646118528.0,1646118528.0,S2,natural_gas_sitc_s2_bol
1988,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",216026800.0,1739247104.0,1739247104.0,S2,natural_gas_sitc_s2_bol
1989,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",216566208.0,1721197056.0,1721197056.0,S2,natural_gas_sitc_s2_bol
1990,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",224836368.0,1667351168.0,1667351168.0,S2,natural_gas_sitc_s2_bol
1991,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",227988076.0,1624832578.0,1624832578.0,S2,natural_gas_sitc_s2_bol
1992,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",119539960.0,1295917952.0,1295917952.0,S2,natural_gas_sitc_s2_bol
1993,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",79473592.0,627799616.0,627799616.0,S2,natural_gas_sitc_s2_bol
1994,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",89326008.0,17494588.0,17494588.0,S2,natural_gas_sitc_s2_bol
1995,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",93137072.0,16209656.0,16209656.0,S2,natural_gas_sitc_s2_bol
1996,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",94333096.0,204664880.0,204664880.0,S2,natural_gas_sitc_s2_bol
1997,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",69365992.0,197241184.0,197241184.0,S2,natural_gas_sitc_s2_bol
1998,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",61833860.0,1022067456.0,1022067456.0,S2,natural_gas_sitc_s2_bol
1999,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",14580861.0,312319585.0,312319585.0,S2,natural_gas_sitc_s2_bol
2000,M,Import,32,Argentina,68,Bolivia (Plurinational State of),341,"Gas, natural and manufactured",692563.0,13226000.0,13226000.0,S2,natural_gas_sitc_s2_bol
