refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1980,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",1958.0,440.0,440.0,S2,natural_gas_sitc_s2
1981,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",2612.0,320.0,320.0,S2,natural_gas_sitc_s2
1982,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",6043682.0,27567760.0,27567760.0,S2,natural_gas_sitc_s2
1983,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",7649554.0,25673888.0,25673888.0,S2,natural_gas_sitc_s2
1984,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",9965951.0,48976080.0,48976080.0,S2,natural_gas_sitc_s2
1985,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",5391962.0,22785156.0,22785156.0,S2,natural_gas_sitc_s2
1986,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",3565667.0,20203100.0,20203100.0,S2,natural_gas_sitc_s2
1987,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",78108.0,601812.0,601812.0,S2,natural_gas_sitc_s2
1988,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",5268936.0,48154640.0,48154640.0,S2,natural_gas_sitc_s2
1989,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",12967062.0,130188920.0,130188920.0,S2,natural_gas_sitc_s2
1990,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",13949844.0,85451976.0,85451976.0,S2,natural_gas_sitc_s2
1991,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",28695303.0,172941264.0,172941264.0,S2,natural_gas_sitc_s2
1992,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",44299872.0,252359024.0,252359024.0,S2,natural_gas_sitc_s2
1993,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",65852292.0,422206592.0,422206592.0,S2,natural_gas_sitc_s2
1994,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",71806056.0,502313440.0,502313440.0,S2,natural_gas_sitc_s2
1995,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",75757904.0,461260704.0,461260704.0,S2,natural_gas_sitc_s2
1996,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",109614432.0,550748800.0,550748800.0,S2,natural_gas_sitc_s2
1997,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",128907760.0,1295001344.0,1295001344.0,S2,natural_gas_sitc_s2
1998,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",162134624.0,2024949248.0,2024949248.0,S2,natural_gas_sitc_s2
1999,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",278534835.0,3345092150.0,3345092150.0,S2,natural_gas_sitc_s2
2000,X,Export,32,Argentina,0,World,341,"Gas, natural and manufactured",451836804.0,3835344428.0,3835344428.0,S2,natural_gas_sitc_s2
