refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
2003,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2087142.0,72265056.0,72265056.0,H2,natural_gas_hs
2004,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",68443691.0,799278000.0,799278000.0,H2,natural_gas_hs
2005,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",730.0,82.0,82.0,H2,natural_gas_hs
2005,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",186570731.0,1559298928.0,1559298928.0,H2,natural_gas_hs
2006,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",204.0,9.0,9.0,H2,natural_gas_hs
2006,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",243307507.0,1602009115.0,1602009115.0,H2,natural_gas_hs
2007,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",3.0,5.0,5.0,H3,natural_gas_hs
2007,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",139289022.0,1495342325.0,1495342325.0,H3,natural_gas_hs
2008,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",275802542.0,327946798.0,327946798.0,H3,natural_gas_hs
2008,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",76721727.0,826524528.0,826524528.0,H3,natural_gas_hs
2009,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",251454227.0,638751125.0,638751125.0,H3,natural_gas_hs
