refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
2012,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",76492515.0,64359192.0,64359192.0,H4,natural_gas_hs
2013,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",74631733.0,55123351.0,55123351.0,H4,natural_gas_hs
2014,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",67.5,4.5,4.5,H4,natural_gas_hs
2014,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",53112416.46,38740757.0,38740757.0,H4,natural_gas_hs
2014,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",67.5,4.5,4.5,H4,natural_gas_hs
2014,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",53112416.46,38740757.0,38740757.0,H4,natural_gas_hs
2015,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",2409.46,,5717.892,H4,natural_gas_hs
2015,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",44485580.52,33313032.2,33313032.2,H4,natural_gas_hs
2016,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",39151295.14,37043240.0,37043240.0,H4,natural_gas_hs
2017,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",27119030.84,43073852.0,43073852.0,H4,natural_gas_hs
2018,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",29600781.55,133777000.0,133777000.0,H5,natural_gas_hs
2018,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",29600781.55,133777000.0,133777000.0,H5,natural_gas_hs
2019,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",357047214.18,1391780600.0,1391780600.0,H5,natural_gas_hs
2020,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",217119214.56,1068710000.0,1068710000.0,H5,natural_gas_hs
2021,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",123358869.07,559561880.0,559561880.0,H5,natural_gas_hs
2022,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",688819871.56,1762810000.0,1762810000.0,H5,natural_gas_hs
2023,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",790045649.54,1711116400.0,1711116400.0,H5,natural_gas_hs
2024,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",667061988.51,1841643170.0,1841643170.0,H6,natural_gas_hs
2025,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",659232098.75,2326724363.57,2326724363.57,H6,natural_gas_hs
2025,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",659232098.75,2326724363.57,2326724363.57,H6,natural_gas_hs
