refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
2016,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,222735743.39,665981000.0,665981000.0,H4,crude_petroleum_hs
2016,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,26.41,4.0,4.0,H4,crude_petroleum_hs
2017,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,455187605.15,1069490804.0,1069490804.0,H4,crude_petroleum_hs
2017,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,306128250.26,740798000.0,740798000.0,H4,crude_petroleum_hs
2017,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,16064596.1,38947000.0,38947000.0,H4,crude_petroleum_hs
2017,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,132994758.79,289745804.0,289745804.0,H4,crude_petroleum_hs
2018,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,181108939.58,338582151.796,338582151.796,H5,crude_petroleum_hs
2018,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,46197482.37,87588151.796,87588151.796,H5,crude_petroleum_hs
2018,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,134911457.21,250994000.0,250994000.0,H5,crude_petroleum_hs
2020,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,39.72,1.0,1.0,H5,crude_petroleum_hs
2020,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,39.72,1.0,1.0,H5,crude_petroleum_hs
2022,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1030.81,1341.866,1341.866,H5,crude_petroleum_hs
2022,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1030.81,1341.866,1341.866,H5,crude_petroleum_hs
2023,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,219.64,89.6,89.6,H5,crude_petroleum_hs
2023,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,93.62,52.6,52.6,H5,crude_petroleum_hs
2023,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,126.02,37.0,37.0,H5,crude_petroleum_hs
2025,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,64.84,6.2,6.2,H6,crude_petroleum_hs
2025,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,64.84,6.2,6.2,H6,crude_petroleum_hs
