"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0177889919988865","0.0294247030075833","0.0331009512386763","0.0554377144704201","0.18246430638044","0.392505226807326","0.569600771757156","0.654265038661154","0.612869673296686","1.27169217143433","1.41742464792145","1.36862265474656","","","","","","","","","","","","","","","","","","","","","0.029101080046802","0.0266858315480046","0.025399068790409","0.0259732745155127","0.0221440890371755","0.0146957032171999","0.0161380341741951","0.00545778248651692","0.00496405675816999","0.00661616208441344","0.109759658709867","0.0040171082591659","0.00316611766583391","0.00107637752933451","0.000872220253764918","0.00129589711544822","0.00193851377624702","0.00162776252475565","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.0182819487054","9.41612050044339","3.76379877792185","9.81007749484725","15.8714986029741","14.4720940926206","6.41819857999691","16.3908627166153","14.8930926715001","22.422517537677","27.9434100340145","16.2798367322166","26.638006637005","31.7305965397004","36.5088515111217","39.351134895651","43.8146654554435","37.3205084628116","16.0903455499391","37.8374168701426","53.8732943871386","36.8414633493145","26.5866181268741","22.7750024381155","39.3950881210443","45.2505707118365","43.0168345572633","45.7826163716811","55.3834193577111","30.1823977084447","39.6755042552823","40.7071973218961","35.7956865122769","30.3898835415826","23.2704465838273","10.3447772067733","10.2897907086532","15.8255471014195","26.2315110976871","25.0903030417286","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","13.1022707410627","13.1350368534285","4.86064548160219","7.98968304790724","4.92463189792542","7.71798212335065","7.55276960231829","4.10811311763452","4.29220184936419","2.34122357908128","1.32497899423878","1.05617341296277","1.05331511516606","1.13513624534112","0.17592098952006","0.441779764685246","0.945520258379203","0.650141974404092","0.664610136036389","0.644512639910059","0.68298105743337","0.926516998854583","1.11613085761613","0.83942817638714","0.916225275620563","0.459639844900993","1.35748215176147","2.73816308738722","3.00847566138625","2.64966720733238","2.77663351256861","1.33705853816038","1.15637306235545","1.1397818150594","1.54518807530349","1.35354642713977","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","12.7250795397266","14.3847365362329","16.6933649783332","21.6467597474533","48.1271530999576","38.8373088213776","39.2460568030033","37.6648195701134","33.9271414149822","57.6327931955366","51.4608568825136","38.2243279367592","24.6674414093192","24.1869453101925","23.7127162256076","20.9100871044738","13.496742591704","17.8866567627228","16.5861658354144","23.7389457429685","24.2924404873609","20.2741446380021","21.0464377720166","20.3546406404925","18.3305839475076","18.8082451960714","21.5163690200901","18.4954636056911","12.0859902680106","16.0083045531403","25.2726534724451","20.2166965445929","19.7351483788945","22.6423564731433","28.2114851491174","35.085636749385","35.1398285629178","31.8812696288656","36.2249397949097","22.8192745180632","27.7216734367692","34.0006702355356","32.8995246633814","29.8915894130625","26.4838932975952","15.3865140596953","12.9964989652965","16.846387212416","21.5453799939353","19.1943212702103","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","41.6311050428947","40.7195007354461","34.9762260572309","34.0728435220725","60.0119726590417","46.492931965686","31.3300161871033","22.4001141671975","22.9235111295027","22.971454511295","23.7726287698924","15.8731975825641","23.72368266751","20.0157071005977","29.1854987799931","36.2423424648504","24.4117397140974","23.1054209036084","20.2697828317994","17.5975036932123","17.4982546925209","19.9177847168247","17.0521520752133","11.2289871893927","14.1711198419606","21.1187657848728","16.2261400815013","14.6729720501741","17.0974463525273","20.1015800340901","24.8595723646838","25.0625278455496","22.8760128811461","27.3483402867312","18.0194845290956","21.7218613808152","28.8192955181761","28.5295456107361","25.7775127425648","23.0463710342002","13.1245435576056","10.8244963068703","13.0421131241847","16.5869505660452","16.1975069547045","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.268367181657603","0.394582757690264","0.44389730399401","0.468589415623693","1.72699963186166","2.18194896152411","2.44555984380105","2.06442721927339","2.29993902093329","5.10034888972501","5.95674218235372","4.92919623294912","2.86026673528258","3.03412504078441","3.76320136000323","3.12126283610169","1.03811687318526","1.63231807728055","1.12225281323613","2.80975784491193","2.2234650774898","0.943813343754445","0.964139951377816","0.963019136199979","0.885737102142948","1.06565514740471","1.41926827078385","1.24842934600908","0.639270077006171","1.12984923926858","1.98869640855447","1.61339964771952","4.70804086056989","4.17733203978432","4.06691283010871","4.84134728148559","4.82776588677362","3.92323603532812","4.14567586092666","2.13102904542995","2.33606865817559","2.68890246166013","2.42558447408521","2.21678648845945","2.0568502789127","0.712016893853712","0.537246824743345","0.723847251357923","1.41509678217918","1.53257384605461","",
"Armenia","ARM","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"American Samoa","ASM","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
