anio,sector,unidad,variable,valor
1969.0,Memoria de YPF,Millones de pesos corrientes,ppye,2.86552134407e-08
1970.0,Memoria de YPF,Millones de pesos corrientes,ppye,2.8239489636500002e-08
1971.0,Memoria de YPF,Millones de pesos corrientes,ppye,5.43079020635e-06
1972.0,Memoria de YPF,Millones de pesos corrientes,ppye,4.30085638062e-06
1973.0,Memoria de YPF,Millones de pesos corrientes,ppye,9.74656869917e-06
1974.0,Memoria de YPF,Millones de pesos corrientes,ppye,9.4785179495e-06
1975.0,Memoria de YPF,Millones de pesos corrientes,ppye,2.746749318346e-05
1976.0,Memoria de YPF,Millones de pesos corrientes,ppye,3.90844253169e-06
1977.0,Memoria de YPF,Millones de pesos corrientes,ppye,5.794985694e-06
1978.0,Memoria de YPF,Millones de pesos corrientes,ppye,2.942152448968e-05
1979.0,Memoria de YPF,Millones de pesos corrientes,ppye,5.321924953967e-05
1980.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.00010617157863
1981.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.00025385112828
1982.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.00115416429245
1983.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.0
1984.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.004089
1985.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.0
1986.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.0
1987.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.0
1988.0,Memoria de YPF,Millones de pesos corrientes,ppye,0.0
1989.0,Memoria de YPF,Millones de pesos corrientes,ppye,1890.00606373
1990.0,Memoria de YPF,Millones de pesos corrientes,ppye,6.055461224999999
1991.0,Memoria de YPF,Millones de pesos corrientes,ppye,5652.0
1992.0,Memoria de YPF,Millones de pesos corrientes,ppye,5010.0
1993.0,Memoria de YPF,Millones de pesos corrientes,ppye,5415.0
1994.0,Memoria de YPF,Millones de pesos corrientes,ppye,5415.0
1995.0,Memoria de YPF,Millones de pesos corrientes,ppye,6846.0
1996.0,Memoria de YPF,Millones de pesos corrientes,ppye,7310.0
1997.0,Memoria de YPF,Millones de pesos corrientes,ppye,10370.0
1998.0,Memoria de YPF,Millones de pesos corrientes,ppye,10513.0
1999.0,Memoria de YPF,Millones de pesos corrientes,ppye,9297.0
2000.0,Memoria de YPF,Millones de pesos corrientes,ppye,20520.0
2001.0,Memoria de YPF,Millones de pesos corrientes,ppye,21981.0
2002.0,Memoria de YPF,Millones de pesos corrientes,ppye,20668.0
2003.0,Memoria de YPF,Millones de pesos corrientes,ppye,806.0
2004.0,Memoria de YPF,Millones de pesos corrientes,ppye,1134.0
2005.0,Memoria de YPF,Millones de pesos corrientes,ppye,1315.0
2006.0,Memoria de YPF,Millones de pesos corrientes,ppye,1697.0
2007.0,Memoria de YPF,Millones de pesos corrientes,ppye,2573.0
2008.0,Memoria de YPF,Millones de pesos corrientes,ppye,3449.0
2009.0,Memoria de YPF,Millones de pesos corrientes,ppye,3066.0
2010.0,Memoria de YPF,Millones de pesos corrientes,ppye,3865.0
2011.0,Memoria de YPF,Millones de pesos corrientes,ppye,6074.0
