anio,unidad_cantidad,expo_crudo,unidad_precio,precio_externo_crudo,tcc,tcp,unidad_renta,renta_sobrevaluacion_crudo,renta_sobrevaluacion_crudo_valor,dif
1978.0,barriles,0.0,USD,14.95,7.9e-09,1.2622630391494297e-08,Pesos corrientes,0.0,,
1979.0,barriles,1.20135371,USD,32.4633783334302,1.31e-08,2.4626019715424612e-08,Pesos corrientes,4.4951476890155973e-07,,
1980.0,barriles,0.0,USD,37.42,1.83e-08,4.162040187202227e-08,Pesos corrientes,0.0,,
1981.0,barriles,0.0,USD,35.75,4.41e-08,8.190042358174585e-08,Pesos corrientes,0.0,,
1982.0,barriles,0.0,USD,31.83,2.16e-07,2.0667427771827035e-07,Pesos corrientes,0.0,,
1983.0,barriles,0.0,USD,29.08,1.053e-06,8.931256667281215e-07,Pesos corrientes,0.0,,
1984.0,barriles,0.0,USD,28.75,6.77e-06,6.5215349932082375e-06,Pesos corrientes,0.0,,
1985.0,barriles,2557822.1855568,USD,26.9560911580689,6e-05,5.369904101939766e-05,Pesos corrientes,-434.4441150461462,,
1986.0,barriles,828555.61461192,USD,22.6970931924809,9.42e-05,8.955315961391932e-05,Pesos corrientes,-87.38756951991763,,
1987.0,barriles,523314.55696856,USD,19.7651448106409,0.000214,0.00020847512175890085,Pesos corrientes,-57.14595930044561,,
1988.0,barriles,1264149.1603008,USD,13.7865882819184,0.000871,0.0009757902950238913,Pesos corrientes,1826.3171179260626,,
1989.0,barriles,1987128.1000496,USD,17.3858625415934,0.0394,0.029977468642338887,Pesos corrientes,-325529.01030246913,,
1990.0,barriles,6529986.54580544,USD,22.4796346776996,0.449,0.7399955380923077,Pesos corrientes,42715733.22093099,,
1991.0,barriles,5543827.82874338,USD,26.6272432261772,0.95,1.69,Pesos corrientes,109236470.47999984,,
1992.0,barriles,16964341.7535642,USD,20.5616324563088,0.99,1.894025275738358,Pesos corrientes,315337178.7855543,,
1993.0,barriles,28450838.2634701,USD,16.061741160708575,0.99,1.972021623383232,Pesos corrientes,448754421.2306008,,
1994.0,barriles,66209162.2566298,USD,14.472662202081663,1.0,1.812286513626661,Pesos corrientes,778351489.999735,440990326.6329701,0.7650080806592063
1995.0,barriles,88121303.2415846,USD,15.808010902102737,0.99,1.850027967708323,Pesos corrientes,1198038328.8689969,986817848.8561127,0.21404201419514668
1996.0,barriles,103610629.199821,USD,19.6415803732122,1.0,1.700047480198135,Pesos corrientes,1424650176.4986444,1620097048.5737872,-0.12063899026740388
1997.0,barriles,104005003.708477,USD,18.133956729083277,1.0,1.685374159314438,Pesos corrientes,1292630905.03466,1503410034.434287,-0.14020069347145225
1998.0,barriles,107523445.730744,USD,11.559119299224387,1.0,1.834025658588197,Pesos corrientes,1036590755.2310033,1160291813.59918,-0.10661202373259948
1999.0,barriles,0.0,USD,16.203629993661696,1.0,1.945408423379476,Pesos corrientes,0.0,,
2000.0,barriles,5608444.835399999,USD,27.930764059573495,1.0,1.969548988287749,Pesos corrientes,151878054.80543086,143024668.21009636,0.06190111612305449
2001.0,barriles,104949187.51679999,USD,23.395872600601972,1.0,2.07506215718321,Pesos corrientes,2639683776.59977,2503873082.862444,0.054240246706940276
2002.0,barriles,97245641.75039999,USD,24.9059965634639,3.14,3.101870690383393,Pesos corrientes,-92349173.37358475,-82209552.51484299,0.12333871853773992
2003.0,barriles,83878726.09908,USD,30.1449796250912,2.93,3.575691739551415,Pesos corrientes,1632646084.5692616,1443402187.5774145,0.13110960938023197
2004.0,barriles,64388883.8736,USD,36.16651394674907,2.93,3.476419712823161,Pesos corrientes,1272459315.0411816,1152373019.4180727,0.10420783340081163
2005.0,barriles,54636926.3616,USD,48.14787712144361,2.928416666666667,3.913969455049009,Pesos corrientes,2592646430.373249,2111051932.0943193,0.22813010469200168
2006.0,barriles,31949152.3164,USD,58.71126301600694,3.07775,4.120995359841515,Pesos corrientes,1956893653.3099747,1949259905.9150429,0.003916228601310134
2007.0,barriles,20763719.822339997,USD,62.8278887947296,3.119166666666667,4.572715840632663,Pesos corrientes,1896214027.765111,1870720811.7300677,0.013627482986874329
2008.0,barriles,20686397.4114204,USD,85.23603883175497,3.183166666666667,5.592039744778452,Pesos corrientes,4247389022.4289055,3749948219.1570587,0.132652712570966
2009.0,barriles,38281780.30050659,USD,56.2753035685592,3.75,6.96022588383259,Pesos corrientes,6915849998.0433035,6788209089.6299305,0.018803325991882724
2010.0,barriles,33429069.621789597,USD,75.26580553145574,3.89,7.66405578636219,Pesos corrientes,9495772892.330673,9512110059.773542,-0.0017175124488896243
2011.0,barriles,21725042.0421738,USD,102.7709066424628,4.11,9.17750726520705,Pesos corrientes,11314234961.700954,11058431193.116085,0.023132012499576637
2012.0,barriles,24058816.80833532,USD,105.63934778595046,4.552518519,12.13401732884997,Pesos corrientes,19268816800.036484,18831022267.909386,0.02324858023630294
2013.0,barriles,15931837.93771614,USD,95.18008634631269,5.49,14.84157193157559,Pesos corrientes,14180664860.958755,14656030930.180248,-0.03243484347747938
2014.0,barriles,16825688.388588417,USD,93.08851800379158,8.1236,21.34231847897062,Pesos corrientes,20704193182.85914,19566144844.196777,0.05816415792301055
2015.0,barriles,14726080.94671626,USD,67.99899768441387,9.43,25.48181551080215,Pesos corrientes,16073625821.966732,10764907901.468178,0.49315033338785197
2016.0,barriles,18683541.3286236,USD,58.106444210139664,14.77744618867244,36.58219323265958,Pesos corrientes,23671978063.610043,16052087758.780247,0.4746977726097861
2017.0,barriles,10845928.399745999,USD,53.103430588571754,16.55671666666666,47.31066691847749,Pesos corrientes,17712922354.04976,17992622603.508266,-0.015545274061601777
2018.0,barriles,22591805.242284298,USD,63.54357632749431,28.11243034511785,63.43351939285051,Pesos corrientes,50705687437.69577,53367400683.03026,-0.04987526488583238
2019.0,barriles,23950112.1422574,USD,54.63145510227052,48.25485833333334,96.3767044113364,Pesos corrientes,62964041857.333664,69272531950.79474,-0.09106769906926582
2020.0,barriles,11961897.6554286,USD,41.31467005901157,70.63476524170274,155.1537195126539,Pesos corrientes,41769423976.06996,27600774332.86303,0.5133424690312745
2021.0,barriles,0.0,USD,56.084874596460594,95.09325,183.2544403613368,Pesos corrientes,0.0,,
2022.0,barriles,0.0,USD,66.14804903940468,130.811639,321.6995633231077,Pesos corrientes,0.0,,
2023.0,barriles,0.0,USD,64.15287361334948,295.294897119341,694.730244073937,Pesos corrientes,0.0,,
2024.0,barriles,0.0,USD,70.6375716885613,959.272352941177,2393.116154794713,Pesos corrientes,0.0,,
2025.0,barriles,0.0,USD,63.064613837660985,1122.168145,2613.39,Pesos corrientes,0.0,,
