anio,unidad_cantidad,expo_gas,unidad_precio,precio_externo_gas,tcc,tcp,unidad_renta,renta_sobrevaluacion_gas
1984.0,MMBTU,0.0,USD,4.770926064890199,6.77e-06,6.5215349932082375e-06,Pesos corrientes,0.0
1985.0,MMBTU,0.0,USD,4.700009439988131,6e-05,5.369904101939766e-05,Pesos corrientes,0.0
1986.0,MMBTU,0.0,USD,4.2232458834134,9.42e-05,8.955315961391932e-05,Pesos corrientes,0.0
1987.0,MMBTU,0.0,USD,3.6980970598806797,0.000214,0.00020847512175890085,Pesos corrientes,0.0
1988.0,MMBTU,0.0,USD,2.593218588840547,0.000871,0.0009757902950238913,Pesos corrientes,0.0
1989.0,MMBTU,0.0,USD,2.6269564928632865,0.0394,0.029977468642338887,Pesos corrientes,0.0
1990.0,MMBTU,0.0,USD,2.8153491709423655,0.449,0.7399955380923077,Pesos corrientes,0.0
1991.0,MMBTU,0.0,USD,2.929518857415326,0.95,1.69,Pesos corrientes,0.0
1992.0,MMBTU,0.0,USD,1.9258762727036292,0.99,1.894025275738358,Pesos corrientes,0.0
1993.0,MMBTU,0.0,USD,2.6429842748759973,0.99,1.972021623383232,Pesos corrientes,0.0
1994.0,MMBTU,31853.343299999997,USD,,1.0,1.812286513626661,Pesos corrientes,
1995.0,MMBTU,19096.1704,USD,,0.99,1.850027967708323,Pesos corrientes,
1996.0,MMBTU,30610.9544939511,USD,,1.0,1.700047480198135,Pesos corrientes,
1997.0,MMBTU,23720720.93327094,USD,,1.0,1.685374159314438,Pesos corrientes,
1998.0,MMBTU,70124828.5853785,USD,1.2631053679542918,1.0,1.834025658588197,Pesos corrientes,73873862.25316328
1999.0,MMBTU,5910.546574,USD,0.9747129438733286,1.0,1.945408423379476,Pesos corrientes,5446.579469552642
2000.0,MMBTU,11411.282034,USD,1.0932602299788075,1.0,1.969548988287749,Pesos corrientes,12095.60919923216
2001.0,MMBTU,218230025.45962197,USD,1.0901093387855751,1.0,2.07506215718321,Pesos corrientes,255751469.77125683
2002.0,MMBTU,206445367.650343,USD,0.8882986503071644,3.14,3.101870690383393,Pesos corrientes,-6992348.8372786045
2003.0,MMBTU,228132934.10724398,USD,0.6009941875582862,2.93,3.575691739551415,Pesos corrientes,88528578.00137264
2004.0,MMBTU,259446308.63520998,USD,1.7878387463878782,2.93,3.476419712823161,Pesos corrientes,253455780.1212821
2005.0,MMBTU,233012074.3566,USD,2.498083295501938,2.928416666666667,3.913969455049009,Pesos corrientes,573674086.0768509
2006.0,MMBTU,108298011.9745562,USD,3.1708397092063456,3.07775,4.120995359841515,Pesos corrientes,358245904.678321
2007.0,MMBTU,43962053.8586,USD,1.9447726324060484,3.119166666666667,4.572715840632663,Pesos corrientes,124272929.73684332
2008.0,MMBTU,24637390.943919,USD,1.93790924589934,3.183166666666667,5.592039744778452,Pesos corrientes,115011711.85241383
2009.0,MMBTU,27435815.52332839,USD,2.160447480611034,3.75,6.96022588383259,Pesos corrientes,190281768.62472913
2010.0,MMBTU,0.0,USD,3.9157196069555247,3.89,7.66405578636219,Pesos corrientes,0.0
2011.0,MMBTU,0.0,USD,5.442531815779406,4.11,9.17750726520705,Pesos corrientes,0.0
2012.0,MMBTU,0.0,USD,7.430440023945892,4.552518519,12.13401732884997,Pesos corrientes,0.0
2013.0,MMBTU,0.0,USD,11.051506101435468,5.49,14.84157193157559,Pesos corrientes,0.0
2014.0,MMBTU,0.0,USD,10.385412405337707,8.1236,21.34231847897062,Pesos corrientes,0.0
2015.0,MMBTU,0.0,USD,6.379625724026714,9.43,25.48181551080215,Pesos corrientes,0.0
2016.0,MMBTU,0.0,USD,3.5760457824334844,14.77744618867244,36.58219323265958,Pesos corrientes,0.0
2017.0,MMBTU,0.0,USD,4.962399318953003,16.55671666666666,47.31066691847749,Pesos corrientes,0.0
2018.0,MMBTU,0.0,USD,6.235695602411983,28.11243034511785,63.43351939285051,Pesos corrientes,0.0
2019.0,MMBTU,0.0,USD,6.861993788670935,48.25485833333334,96.3767044113364,Pesos corrientes,0.0
2020.0,MMBTU,0.0,USD,2.397897880116509,70.63476524170274,155.1537195126539,Pesos corrientes,0.0
2021.0,MMBTU,0.0,USD,3.1259671847590584,95.09325,183.2544403613368,Pesos corrientes,0.0
2022.0,MMBTU,0.0,USD,3.658790061111034,130.811639,321.6995633231077,Pesos corrientes,0.0
2023.0,MMBTU,0.0,USD,3.827195112162613,295.294897119341,694.730244073937,Pesos corrientes,0.0
2024.0,MMBTU,0.0,USD,3.268511303017215,959.272352941177,2393.116154794713,Pesos corrientes,0.0
2025.0,MMBTU,0.0,USD,3.732945516537574,1122.168145,2613.39,Pesos corrientes,0.0
