anio,variable,unidad,prod_crudo,regalias,mecon,sesco,anuario_combustibles,sec_energia,crudo_eia
1978.0,Producción de crudo según distintas fuentes,barriles,165137944.22399998,,,,165138699.0,165137944.22399998,
1979.0,Producción de crudo según distintas fuentes,barriles,172553838.567,,,,172554373.2,172553838.567,
1980.0,Producción de crudo según distintas fuentes,barriles,179675709.9192,,,,179674426.79999998,179675709.9192,179215000.0
1981.0,Producción de crudo según distintas fuentes,barriles,181475630.5362,,,,181473309.6,181475630.5362,181040000.0
1982.0,Producción de crudo según distintas fuentes,barriles,179071260.1392,,,,179070606.0,179071260.1392,179215000.0
1983.0,Producción de crudo según distintas fuentes,barriles,179096469.6576,,,,179095765.2,179096469.6576,179215000.0
1984.0,Producción de crudo según distintas fuentes,barriles,175096653.7518,,,,175095452.39999998,175096653.7518,174470000.0
1985.0,Producción de crudo según distintas fuentes,barriles,167780798.6778,,,,167780415.0,167780798.6778,167900000.0
1986.0,Producción de crudo según distintas fuentes,barriles,158370534.5508,,,,158370874.2,158370534.5508,158410000.0
1987.0,Producción de crudo según distintas fuentes,barriles,156346426.59239998,,,,156345558.6,156346426.59239998,156220000.0
1988.0,Producción de crudo según distintas fuentes,barriles,164306432.664,,,,164308445.39999998,164306432.664,163885000.0
1989.0,Producción de crudo según distintas fuentes,barriles,168021213.70319998,,,,168019427.39999998,168021213.70319998,167900000.0
1990.0,Producción de crudo según distintas fuentes,barriles,176139785.63279998,,,,176139559.2,176139785.63279998,176295000.0
1991.0,Producción de crudo según distintas fuentes,barriles,180017346.69599998,,,,180020365.79999998,180017346.69599998,177025000.0
1992.0,Producción de crudo según distintas fuentes,barriles,202821544.93919998,,,,202820890.79999998,202821544.93919998,201845000.0
1993.0,Producción de crudo según distintas fuentes,barriles,216666596.091,,,216709977.407682,,216666596.091,216810168.0
1994.0,Producción de crudo según distintas fuentes,barriles,243619496.09579998,,,243705394.8377136,,243619496.09579998,237290000.0
1995.0,Producción de crudo según distintas fuentes,barriles,262532037.834,,,262532039.23662537,,262532037.834,260820000.00000003
1996.0,Producción de crudo según distintas fuentes,barriles,286623720.3984,,,286623718.1403618,,286623720.3984,275934016.39344263
1997.0,Producción de crudo según distintas fuentes,barriles,304444925.2284,,,304444926.5869968,,304444925.2284,304290000.0
1998.0,Producción de crudo según distintas fuentes,barriles,309128920.41899997,,,309128920.3372326,,309128920.41899997,309040000.0
1999.0,Producción de crudo según distintas fuentes,barriles,280944389.51699996,,281195635.2446406,286730758.4788152,,280944389.51699996,292815000.0
2000.0,Producción de crudo según distintas fuentes,barriles,272277680.3868,,265524541.93644056,271988857.2113988,,272277680.3868,277816857.92349726
2001.0,Producción de crudo según distintas fuentes,barriles,280631962.5714,,274056010.51681376,280350177.70106816,,280631962.5714,292876000.0
2002.0,Producción de crudo según distintas fuentes,barriles,276503268.66359997,,269745373.18089235,276359551.28112537,,276503268.66359997,291688654.99999994
2003.0,Producción de crudo según distintas fuentes,barriles,270191278.2492,,261961787.59655985,270390706.75523937,,270191278.2492,285834055.0
2004.0,Producción de crudo según distintas fuentes,barriles,254315156.3304,,246462265.94956055,254764943.62806037,,254315156.3304,267421264.99999997
2005.0,Producción de crudo según distintas fuentes,barriles,242613090.357,,235333293.6560663,242735039.60086125,,242613090.357,256832160.0
2006.0,Producción de crudo según distintas fuentes,barriles,241190771.5932,,234258115.87298337,240581576.80694938,,241190771.5932,254204944.99999997
2007.0,Producción de crudo según distintas fuentes,barriles,238412145.51659998,,231623045.45740733,234634843.60311535,,238412145.51659998,247753341.0
2008.0,Producción de crudo según distintas fuentes,barriles,236452111.75079998,,229046372.87736732,229813564.91174728,,236452111.75079998,241343561.7622951
2009.0,Producción de crudo según distintas fuentes,barriles,227941980.90179998,,220344493.9499344,213397024.34243158,,227941980.90179998,237681193.0
2010.0,Producción de crudo según distintas fuentes,barriles,222743303.95679998,,215106366.40881827,208580088.7315464,,222743303.95679998,228510471.99999997
2011.0,Producción de crudo según distintas fuentes,barriles,209615629.65420002,,202002442.1947765,195537811.37816375,,209615629.65420002,212222926.0
2012.0,Producción de crudo según distintas fuentes,barriles,208440946.60619998,,201076103.55258292,194697351.55557123,,208440946.60619998,201158723.21038255
2013.0,Producción de crudo según distintas fuentes,barriles,204173770.1718,,197077899.67723635,191127640.88577324,,204173770.1718,197044731.0
2014.0,Producción de crudo según distintas fuentes,barriles,201146495.7216,,194226984.41787565,187966208.40812892,,201146495.7216,194238283.0
2015.0,Producción de crudo según distintas fuentes,barriles,201105366.7194,,194339835.4062838,186094035.06467792,,201105366.7194,194267150.0
2016.0,Producción de crudo según distintas fuentes,barriles,178186765.72620198,,186858772.45366055,178186765.72620198,,,186354439.8907104
2017.0,Producción de crudo según distintas fuentes,barriles,166375420.6223076,,175065754.53881514,166375420.6223076,,,174997000.0
2018.0,Producción de crudo según distintas fuentes,barriles,169545967.85606632,,178663117.0198723,169545967.85606632,,,178587000.0
2019.0,Producción de crudo según distintas fuentes,barriles,175181884.10622966,,169624009.34648398,175181884.10622966,,,185143000.0
2020.0,Producción de crudo según distintas fuentes,barriles,164705993.94875866,,,164705993.94875866,,,
2021.0,Producción de crudo según distintas fuentes,barriles,174112871.68014562,,,174112871.68014562,,,
2022.0,Producción de crudo según distintas fuentes,barriles,199004448.8329207,,,199004448.8329207,,,
2023.0,Producción de crudo según distintas fuentes,barriles,217765786.8019986,,,217765786.8019986,,,
2024.0,Producción de crudo según distintas fuentes,barriles,237817865.7676833,,,237817865.7676833,,,
2025.0,Producción de crudo según distintas fuentes,barriles,266845855.46639988,,,266845855.46639988,,,
