"","fecha","empresa","sector","moneda","gcia_ant","KTA","tg_ant","tg_desp","activo","activo_no_corr","costos","ctas_cobrar_corr","ctas_cobrar_nocorr","disponibilidades","equity","gcia_desp","gcia_op_discont","gcia_operativa","impuesto_gcia","inventarios","long_term_debt","obras_en_curso","ON_nopesos_corr","ON_nopesos_nocorr","ON_pesos_corr","ON_pesos_nocorr","pasivo","pasivo total","ppye","prestamos_corr","prestamos_financieros_pesos_corr","prestamos_financieros_pesos_nocorr","prestamos_nocorr","regalias_otros","solvencia_ratio","sueldos_y_cargas","terrenos","ventas","rotacion","ppye_neta"
"11",1998-12-31,"YPF","integrada","MM_pesos",802,6920.79285714286,0.115882676530662,0.0838054269174362,0,10920,2800,590,37,0,0,580,0,0,-222,242,0,446,0,0,166,1974,0,4957,7542,1238,270,10,2231,272,1.245,310,444,4398,11.5702479338843,6652
"12",1999-12-31,"camuzzi_pamp","distribución","MM_pesos",50.063744,473.075402,0.105826140586358,0.0661379198067035,591.298843,534.081498,275.407489,0,0,1.815261,0,31.288223,0,0,-18.775521,0,0,23.952292,0,0,0,0,0,0,501.732629,0,0,0,0,0,0,26.590838,4.704935,361.925763,Inf,473.075402
"13",1999-12-31,"chevron","integrada","MM_usd",3648,26719,0.136532055840413,0.0774729593173397,40668,0,32938,0,0,0,17749,2070,0,0,-1578,1402,8889,0,0,0,0,0,22919,0,25317,0,0,0,0,0,0.774422967843274,0,0,36586,23.4935805991441,25317
"14",1999-12-31,"metrogas","distribución","MM_pesos",66.232,819.089,0.0808605658237383,0.0808605658237383,0,892.065,508.397,0,0,0,0,42.041,0,0,0,0,0,43.349,0,0,0,0,0,0,870.127,0,0,0,0,0,0,37.663,7.689,692.647,Inf,819.089
"15",1999-12-31,"PAE","produccion","MM_pesos",17,1270.00602409639,0.0133857632778518,0.0133857632778518,0,1151,332,0,0,0,0,17,0,0,0,18,0,100,0,0,0,0,0,0,1358,0,0,0,0,0,0,37,8,453,18.4444444444444,1250
"16",1999-12-31,"petrobras_ar","integrada","MM_pesos",0,1352,0,0,4363,0,0,0,0,0,0,338,0,312,0,27,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,508,0,1325
"17",1999-12-31,"petrobras_glob","integrada","MM_usd",946,2678.65529841657,0.35316227532494,0.260205185942371,0,0,8210,0,0,0,0,727,0,0,-249,2270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,23467,3.61674008810573,0
"18",1999-12-31,"tecpetrol","produccion","MM_pesos",12.309,194.067024602282,0.0634265405224091,0.0481843838187543,0,422.109,79.139,0,0,0,0,13.097,0,0,-2.958,2.098,0,9.935,0,0,0,0,0,0,201.395,0,0,0,0,11.708,0,19.201,0,115.317,37.7211630123928,191.46
"19",1999-12-31,"TGN","transporte","MM_pesos",70.565,1015.278,0.0695031311621054,0.0695031311621054,0,1154.313,79.18,0,0,0,0,47.685,0,0,0,0,0,115.211,0,0,0,0,0,0,1131.769,0,0,0,0,0,0,25.138,1.28,222.812,Inf,1015.278
"20",1999-12-31,"TGS","transporte","MM_pesos",212.482,1847.225,0.11502767665011,0.11502767665011,0,2006.298,110.827,0,0,0,0,145.724,0,0,0,0,0,56.066,0,0,0,0,0,0,1949.773,0,0,0,0,0,0,0,46.482,430.271,Inf,1847.225
"21",1999-12-31,"YPF","integrada","MM_pesos",788,6459.86883408072,0.121983900948995,0.0738405085693788,0,10486,2676,541,17,0,0,477,0,0,-311,249,0,506,0,0,390,1828,0,4595,7165,1067,86,3,1991,363,1.345,321,478,4661,10.7469879518072,6181
"22",2000-12-31,"camuzzi_pamp","distribución","MM_pesos",47.041936,488.247533,0.0963485380273289,0.0610411276773415,614.73206,545.982208,270.461423,0,0,7.430032,0,29.80318,0,0,-17.238756,0,0,16.808427,0,0,0,0,0,0,509.754085,0,0,0,0,0,0,28.476602,4.698125,356.212575,Inf,488.247533
"23",2000-12-31,"chevron","integrada","MM_usd",14049,46973,0.299086709386243,0.164498754603709,77621,0,105081,0,0,0,33369,7727,0,0,-6322,2654,12494,0,0,0,0,0,44252,0,44319,0,0,0,0,0,0.754067612763265,0,0,119130,39.5934438583271,44319
"24",2000-12-31,"metrogas","distribución","MM_pesos",79.474,829.264,0.0958367902139729,0.0958367902139729,0,903.309,508.397,0,0,0,0,48.043,0,0,0,0,0,42.008,0,0,0,0,0,0,878.961,0,0,0,0,0,0,40.377,7.689,718.45,Inf,829.264
"25",2000-12-31,"PAE","produccion","MM_pesos",263,3882.58754863813,0.0677383308696415,0.054860321198607,0,1209,257,0,0,0,0,213,0,0,-50,19,0,477,0,0,0,0,0,0,4353,0,0,0,0,0,0,35,15,646,13.5263157894737,3861
