indice_tiempo,produccion_gas_natural,total,residencial,comercial,entes_oficiales,industria,centrales_electricas,sdb,gnc,metrogas,gas_natural_fenosa,distrib_gas_del_centro_ecogas,distrib_gas_cuyana_ecogas,litoral_gas,gasnea,redengas,gasnor,camuzzi_gas_pampeana,camuzzi_gas_del_sur
1998-11-01,3130.204427749999,2179.641,270.797,60.247,19.091,773.609,917.991,14.958,122.948,456.502,192.854,134.412,148.164,240.703,0.0,2.647,240.695,397.736,365.928
1998-12-01,3159.956447999999,2131.355,211.155,62.343,20.446,730.185,970.831,13.594,122.801,431.424,173.271,140.216,142.396,258.062,0.0,2.259,215.775,404.371,363.58
1999-01-01,3081.627192,2067.21,213.18,51.902,12.908,692.048,968.681,14.036,114.455,411.053,160.046,116.926,137.681,245.473,0.007,2.065,219.127,408.763,366.069
1999-02-01,2911.2259290000015,1980.801,196.735,49.953,13.75,672.614,926.196,13.448,108.105,425.198,162.474,103.819,129.637,217.097,0.092,1.901,195.227,385.855,359.501
1999-03-01,3325.2273199999986,2397.612,262.726,62.821,17.449,807.129,1106.995,16.215,124.277,548.999,188.079,129.168,151.541,267.205,0.413,2.431,222.677,437.109,449.99
1999-04-01,2311.0,2393.171,455.76,87.539,26.978,819.874,856.72,23.934,122.366,447.105,236.817,129.122,157.216,275.609,1.287,2.795,211.219,458.237,473.764
1999-05-01,3862.7396570000005,2831.401,726.185,101.786,32.038,855.477,955.33,33.641,126.944,656.055,298.9,166.507,163.867,281.277,1.522,3.615,213.994,508.136,537.528
1999-06-01,3937.49756787,2985.835,1033.745,128.707,44.877,816.873,789.847,45.58,126.206,668.352,373.877,173.894,181.494,270.901,1.122,5.15,246.763,480.64,583.642
1999-07-01,3913.0,3140.439,1163.471,132.731,42.43,844.626,778.245,49.08,129.856,702.042,413.45,183.347,180.753,280.003,2.05,5.279,277.23,510.033,586.253
1999-08-01,3723.7211829999983,2961.801,897.823,117.378,42.992,888.033,845.115,39.295,131.165,654.183,353.091,170.812,171.755,277.72,2.03,4.159,286.809,510.116,531.127
1999-09-01,3555.515572,2584.232,599.521,83.793,28.97,876.269,839.842,27.408,128.429,581.364,272.117,131.844,142.646,263.483,2.056,3.343,260.232,465.512,461.634
1999-10-01,3542.02298721,2415.776,456.959,81.361,26.828,884.251,812.403,21.399,132.575,560.708,253.16,128.582,141.905,273.102,1.988,3.059,262.636,434.746,355.89
1999-11-01,3263.412127,2142.557,299.818,63.065,19.067,819.255,796.252,14.669,130.431,539.0,215.779,127.197,128.97,273.256,2.023,2.176,212.44,338.45,303.266
1999-12-01,3662.6150486000006,2274.05,250.821,55.176,15.791,800.183,1004.226,13.747,134.106,588.312,199.762,124.622,128.349,279.925,1.862,2.572,212.561,382.77,353.315
2000-01-01,3445.1998005300006,2282.271,202.635,49.425,14.476,753.263,1124.541,13.452,124.479,605.851,156.47,129.712,119.869,257.119,1.96,2.237,208.87,409.167,391.017
2000-02-01,3420.9420042999996,2215.346,197.857,52.296,15.827,743.015,1071.751,15.126,119.474,562.27,169.361,127.366,131.472,257.934,2.095,2.276,213.387,371.62,377.565
2000-03-01,3511.280689040002,2396.851,283.489,67.697,20.182,838.858,1034.344,17.478,134.802,619.19,216.081,130.713,140.97,265.571,2.462,2.359,197.139,405.877,416.488
2000-04-01,3539.0640203,2425.25,374.611,75.495,23.775,819.601,980.807,19.735,131.226,586.148,235.608,138.888,128.669,253.221,2.829,2.785,203.099,412.603,461.4
2000-05-01,4174.491260769999,2943.309,790.91,110.019,32.929,881.79,949.121,36.688,141.852,701.966,339.649,173.066,172.165,287.581,3.717,4.186,241.32,484.254,535.405
2000-06-01,4184.555584400002,3007.93,976.339,127.124,44.153,814.916,862.796,45.054,137.548,698.133,370.402,174.997,179.954,272.113,4.39,5.028,255.395,479.874,567.645
