anio,sector,variable,valor,unidad,fuente
2007,servicios_petroleros,ppye,3036.636,Millones de pesos corrientes,AFIP (v8)
2007,servicios_petroleros,activo,6907.4275,Millones de pesos corrientes,AFIP (v8)
2008,servicios_petroleros,KTA,4323.053,Millones de pesos corrientes,AFIP (v8)
2008,servicios_petroleros,ppye,3022.67,Millones de pesos corrientes,AFIP (v8)
2008,servicios_petroleros,activo,7702.528,Millones de pesos corrientes,AFIP (v8)
2009,servicios_petroleros,KTA,4995.797,Millones de pesos corrientes,AFIP (v8)
2009,servicios_petroleros,ppye,3576.7,Millones de pesos corrientes,AFIP (v8)
2009,servicios_petroleros,activo,8484.213,Millones de pesos corrientes,AFIP (v8)
2010,servicios_petroleros,KTA,5032.983,Millones de pesos corrientes,AFIP (v8)
2010,servicios_petroleros,ppye,3350.686,Millones de pesos corrientes,AFIP (v8)
2010,servicios_petroleros,activo,9550.608,Millones de pesos corrientes,AFIP (v8)
2011,servicios_petroleros,KTA,5926.25,Millones de pesos corrientes,AFIP (v8)
2011,servicios_petroleros,ppye,3990.012,Millones de pesos corrientes,AFIP (v8)
2011,servicios_petroleros,activo,11994.489,Millones de pesos corrientes,AFIP (v8)
2012,servicios_petroleros,KTA,8510.0,Millones de pesos corrientes,AFIP (v8)
2012,servicios_petroleros,ppye,5090.0,Millones de pesos corrientes,AFIP (v8)
2012,servicios_petroleros,activo,18539.0,Millones de pesos corrientes,AFIP (v8)
2013,servicios_petroleros,KTA,10939.0,Millones de pesos corrientes,AFIP (v8)
2013,servicios_petroleros,ppye,6802.0,Millones de pesos corrientes,AFIP (v8)
2013,servicios_petroleros,activo,24366.0,Millones de pesos corrientes,AFIP (v8)
2014,servicios_petroleros,KTA,18474.381103515625,Millones de pesos corrientes,AFIP (v8)
2014,servicios_petroleros,ppye,9746.1962890625,Millones de pesos corrientes,AFIP (v8)
2014,servicios_petroleros,activo,38477.83203125,Millones de pesos corrientes,AFIP (v8)
