anio,sector,unidad,variable,valor,fuente
2022,extraccion_petroleo_gas,Millones de pesos 2018,ppye,1253955.0299537336,AFIP (combinada)
2001,servicios_petroleros,Millones de pesos 2018,KTA,29286.142650768335,AFIP (combinada)
2002,servicios_petroleros,Millones de pesos 2018,KTA,49732.594459293636,AFIP (combinada)
2003,servicios_petroleros,Millones de pesos 2018,KTA,48147.19611979925,AFIP (combinada)
2004,servicios_petroleros,Millones de pesos 2018,KTA,47697.74057133201,AFIP (combinada)
2005,servicios_petroleros,Millones de pesos 2018,KTA,45609.2916831983,AFIP (combinada)
2006,servicios_petroleros,Millones de pesos 2018,KTA,49270.97140536187,AFIP (combinada)
2007,servicios_petroleros,Millones de pesos 2018,KTA,54653.82064536289,AFIP (combinada)
2008,servicios_petroleros,Millones de pesos 2018,KTA,44733.71140590958,AFIP (combinada)
2009,servicios_petroleros,Millones de pesos 2018,KTA,45011.63796710274,AFIP (combinada)
2010,servicios_petroleros,Millones de pesos 2018,KTA,36032.04797374883,AFIP (combinada)
2011,servicios_petroleros,Millones de pesos 2018,KTA,34256.399202981884,AFIP (combinada)
2012,servicios_petroleros,Millones de pesos 2018,KTA,39785.724230677944,AFIP (combinada)
2013,servicios_petroleros,Millones de pesos 2018,KTA,40619.09153616514,AFIP (combinada)
2014,servicios_petroleros,Millones de pesos 2018,KTA,45295.5623461389,AFIP (combinada)
2015,servicios_petroleros,Millones de pesos 2018,KTA,56975.84933544367,AFIP (combinada)
2016,servicios_petroleros,Millones de pesos 2018,KTA,45872.51079457561,AFIP (combinada)
2017,servicios_petroleros,Millones de pesos 2018,KTA,39194.89904240305,AFIP (combinada)
2018,servicios_petroleros,Millones de pesos 2018,KTA,79259.27274371,AFIP (combinada)
2019,servicios_petroleros,Millones de pesos 2018,KTA,97922.2779616864,AFIP (combinada)
2020,servicios_petroleros,Millones de pesos 2018,KTA,75071.83209991828,AFIP (combinada)
2021,servicios_petroleros,Millones de pesos 2018,KTA,73004.14592986382,AFIP (combinada)
2022,servicios_petroleros,Millones de pesos 2018,KTA,82055.09930620145,AFIP (combinada)
2001,servicios_petroleros,Millones de pesos 2018,activo,39637.97961061543,AFIP (combinada)
2002,servicios_petroleros,Millones de pesos 2018,activo,62967.205042627524,AFIP (combinada)
2003,servicios_petroleros,Millones de pesos 2018,activo,61422.2783804376,AFIP (combinada)
2004,servicios_petroleros,Millones de pesos 2018,activo,61923.49336146938,AFIP (combinada)
