anio,unidad,Ventas,Costo de las Ventas,utilidad_neta,utilidad_operativa,ppye,bienes_de_cambio,utilidad_neta_antes_impuestos,activo,patrimonio_neto,KTA,sector
1967.0,Millones de pesos  de 2018,,,629.938097447995,,166773.72197416166,19696.256032919504,,,,186469.97800708117,Memoria de YPF
1968.0,Millones de pesos  de 2018,,,11653.345313827593,,171942.32032859977,17074.186086857804,,,,189016.50641545758,Memoria de YPF
1969.0,Millones de pesos  de 2018,,,9985.812281473194,,175949.5568998868,14520.827276962442,,,,190470.38417684924,Memoria de YPF
1970.0,Millones de pesos  de 2018,,,663.3264353741602,,152666.7888997872,11477.650560376123,,,,164144.43946016332,Memoria de YPF
1971.0,Millones de pesos  de 2018,,,80096.34180237133,,21792610.818183526,1302076.7323613248,,,,23094687.55054485,Memoria de YPF
1972.0,Millones de pesos  de 2018,,,-1748494.6660231445,,10891697.99830018,1131625.8016571766,,,,12023323.799957357,Memoria de YPF
1973.0,Millones de pesos  de 2018,,,1233133.9914476257,,15397486.88385736,1565847.5053491485,,,,16963334.38920651,Memoria de YPF
1974.0,Millones de pesos  de 2018,,16527015.38908811,2292298.1335421153,2451145.79887371,12054787.784294188,2551485.4334395104,,,,14606273.217733698,Memoria de YPF
1975.0,Millones de pesos  de 2018,,18565972.239533413,-11297365.538980875,-11263522.81175007,12352920.458529243,3832369.276704402,,,,16185289.735233646,Memoria de YPF
1976.0,Millones de pesos  de 2018,,193095.34118753675,-60637.3895215414,-59751.11270790141,323106.593061834,36647.59052977783,,,,359754.1835916118,Memoria de YPF
1977.0,Millones de pesos  de 2018,,86500.05128121558,-42460.73798739245,-35602.974261238465,173554.33214564293,30188.77516917058,,,,203743.1073148135,Memoria de YPF
1978.0,Millones de pesos  de 2018,,98675.82772510874,30346.407734036067,12721.643361209912,319825.250472333,30429.09674036746,,,,350254.34721270046,Memoria de YPF
1979.0,Millones de pesos  de 2018,,175110.39656191628,69754.97787020654,73732.2815082723,222925.86734405995,5499567.828966928,,,,5722493.696310988,Memoria de YPF
1980.0,Millones de pesos  de 2018,,124222.3814980687,-48246.1840387541,-55887.44717839147,221520.41246912826,14626130.879034529,,,,14847651.291503657,Memoria de YPF
1981.0,Millones de pesos  de 2018,,137144.19148421215,-362274.3110838862,-391938.246732417,259023.78429792516,15479.84189705325,,,,274503.6261949784,Memoria de YPF
1982.0,Millones de pesos  de 2018,,174557.60323536466,-746358.5742845355,-769308.104686068,444779.9221935201,12379.786741451686,,,,457159.70893497183,Memoria de YPF
1983.0,Millones de pesos  de 2018,,20856537.1474797,-76065244.95470002,-82597747.53316402,0.0,1902533.5396021975,,0.0,,0.0,Memoria de YPF
1984.0,Millones de pesos  de 2018,,236497.79454289883,-991.7302554974284,-5448.542126588282,48857.65077986728,3441.184501003125,,,,52298.83528087041,Memoria de YPF
1985.0,Millones de pesos  de 2018,,122072841.29956606,-24.758009824827607,-51081694.527718715,0.0,16653142.62291327,,0.0,,0.0,Memoria de YPF
1986.0,Millones de pesos  de 2018,,178141.3170159984,-34538616.43332811,-69529911.13322379,0.0,21319973.26869912,,0.0,,0.0,Memoria de YPF
1987.0,Millones de pesos  de 2018,,389952.43606387044,185738403.00955233,-185231.76165404258,0.0,342373994.1271536,,0.0,,0.0,Memoria de YPF
1988.0,Millones de pesos  de 2018,,2340556042.1691184,68415747.82943922,-335895.0249577689,0.0,390386223.5006856,,0.0,,0.0,Memoria de YPF
1989.0,Millones de pesos  de 2018,,190930.92774046017,305678.0712960498,-905772.3582956506,4722232.862833373,225913.58872597825,,,,4948146.451559352,Memoria de YPF
1990.0,Millones de pesos  de 2018,,242.41412559648103,3.9961806101091275,28.04936899115263,626.7594220848565,41.831041451306305,,,,668.5904635361628,Memoria de YPF
1991.0,Millones de pesos  de 2018,,-127363.69197616713,9638.951262330327,10019.937478232712,215333.4092280277,18134.9438769535,9638.951262330327,,0.17110090956176088,233468.35310498122,Memoria de YPF
1992.0,Millones de pesos  de 2018,,-86842.91528521395,7808.846615038557,15953.229608067051,152821.56852087175,11591.256694197858,7808.846615038557,,0.13720387529079464,164412.8252150696,Memoria de YPF
1993.0,Millones de pesos  de 2018,,-75009.35888995463,19469.340947172048,19634.80276825283,149329.29352540598,10065.594115747588,20213.919142035567,,0.13694723391452746,159394.88764115356,Memoria de YPF
1994.0,Millones de pesos  de 2018,,-75019.35022772556,14241.499796230188,18741.60196232523,143341.4895847332,7200.163465752065,14532.682877565749,,0.13463246833387868,150541.65305048527,Memoria de YPF
1995.0,Millones de pesos  de 2018,,-82581.54473661399,20306.09766701857,24608.019997484043,175303.334966468,6785.770342698514,22610.698915482215,,0.14951740766421365,182089.10530916654,Memoria de YPF
1996.0,Millones de pesos  de 2018,,-92143.0263493085,20888.138881072427,38836.08685477236,186893.8741990691,5931.515569655819,30884.787966138916,,0.16296327690080253,192825.3897687249,Memoria de YPF
1997.0,Millones de pesos  de 2018,156256.9216473338,-94863.00744540284,22304.251348423135,41505.74481257304,263734.4201632245,7324.5432022187715,34562.688235469825,0.3245433882066449,0.017650114522013288,271058.9633654433,Memoria de YPF
1998.0,Millones de pesos  de 2018,138596.86628475555,-90566.75225952936,14615.669535483314,28878.54704769634,264921.61004575185,6602.250721201082,2178867.4760075947,0.33127170985079935,0.18166269255396414,271523.8607669529,Memoria de YPF
1999.0,Millones de pesos  de 2018,168228.55147104646,-107290.95856171014,12162.02168106838,39137.74272628923,237044.6867272384,7088.138422090166,2235184.5345306545,0.3293689645200028,0.18803964339178048,244132.82514932856,Memoria de YPF
2000.0,Millones de pesos  de 2018,486380.3238901866,-2799833.393278007,69004.90280730223,155692.15109338725,528153.8998902804,18634.669762210673,12114207.061481135,0.3408291394905991,0.46573805158453335,546788.5696524911,Memoria de YPF
2001.0,Millones de pesos  de 2018,466772.89184996206,-2794341.5624570516,49924.04299744048,124250.77089930992,571850.1246100778,20136.117394486155,82443.61243298014,0.8027390676024094,0.49068127929897076,591986.242004564,Memoria de YPF
2002.0,Millones de pesos  de 2018,352405.0374972855,-1782900.7938132463,74738.80443344191,138399.06927166122,427185.17976503796,15357.00544636265,-121222.16635185167,0.6641129771158523,0.6563621331826275,442542.1852114006,Memoria de YPF
2003.0,Millones de pesos  de 2018,319099.3679354338,-141311.79043663497,84320.65061123602,371462.7106010977,14685.057128923128,607024.8739011561,-600610.6383209694,0.6070248739011561,0.6002289355524114,621709.9310300793,Memoria de YPF
2004.0,Millones de pesos  de 2018,347779.36394085654,-160741.73401350513,85082.14231978408,358650.19549648114,19787.356314732395,539563.1675168916,-5265547.2571431985,0.5395631675168916,0.5395631675168916,559350.523831624,Memoria de YPF
2005.0,Millones de pesos  de 2018,364463.09003956907,-1791679.6068579836,85334.74908485085,349455.50548399007,20927.861813983378,377720.05497572734,13961429.390525972,0.37772005497572736,0.35408669011354843,398647.9167897107,Memoria de YPF
2006.0,Millones de pesos  de 2018,367882.80158987857,-227044.03370210528,63961.523178704454,323079.5986812146,24353.310485587044,347361.1551582996,10416743.959197864,0.34736115515829963,0.3493702673963563,371714.46564388665,Memoria de YPF
