anio,sector,variable,unidad,valor,fuente,variable_sector
2004,downstream,activo,Millones de pesos 2018,159328.35141959568,Activo de YPF y Petrobras,activo downstream
2004,downstream,prop_planta_equipo,Millones de pesos 2018,3245.545215643938,Activo de YPF y Petrobras,prop_planta_equipo downstream
2004,gas_y_energia,activo,Millones de pesos 2018,110243.84232493764,Activo de YPF y Petrobras,activo gas_y_energia
2004,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,70267.79883547385,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2004,petroquimica,activo,Millones de pesos 2018,61473.418251148345,Activo de YPF y Petrobras,activo petroquimica
2004,petroquimica,prop_planta_equipo,Millones de pesos 2018,11690.942443448592,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2004,upstream,activo,Millones de pesos 2018,415534.48260938027,Activo de YPF y Petrobras,activo upstream
2004,upstream,prop_planta_equipo,Millones de pesos 2018,109510.97727624384,Activo de YPF y Petrobras,prop_planta_equipo upstream
2005,adm_central,activo,Millones de pesos 2018,87562.81041865896,Activo de YPF y Petrobras,activo adm_central
2005,adm_central,prop_planta_equipo,Millones de pesos 2018,2594.0999815051637,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2005,downstream,activo,Millones de pesos 2018,174616.34967530463,Activo de YPF y Petrobras,activo downstream
2005,downstream,prop_planta_equipo,Millones de pesos 2018,15071.243450830614,Activo de YPF y Petrobras,prop_planta_equipo downstream
2005,gas_y_energia,activo,Millones de pesos 2018,82533.75769377779,Activo de YPF y Petrobras,activo gas_y_energia
2005,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,62576.694032382235,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2005,petroquimica,activo,Millones de pesos 2018,50035.891667805125,Activo de YPF y Petrobras,activo petroquimica
2005,petroquimica,prop_planta_equipo,Millones de pesos 2018,11172.13611666641,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2005,upstream,activo,Millones de pesos 2018,434074.09199725976,Activo de YPF y Petrobras,activo upstream
2005,upstream,prop_planta_equipo,Millones de pesos 2018,113042.28324313606,Activo de YPF y Petrobras,prop_planta_equipo upstream
2006,adm_central,activo,Millones de pesos 2018,106238.98498809717,Activo de YPF y Petrobras,activo adm_central
2006,adm_central,prop_planta_equipo,Millones de pesos 2018,1966.0598329554657,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2006,downstream,activo,Millones de pesos 2018,170745.83863141702,Activo de YPF y Petrobras,activo downstream
2006,downstream,prop_planta_equipo,Millones de pesos 2018,16115.950309554657,Activo de YPF y Petrobras,prop_planta_equipo downstream
2006,gas_y_energia,activo,Millones de pesos 2018,73533.5079128745,Activo de YPF y Petrobras,activo gas_y_energia
2006,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,55250.586546558705,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2006,petroquimica,activo,Millones de pesos 2018,51461.974897651824,Activo de YPF y Petrobras,activo petroquimica
2006,petroquimica,prop_planta_equipo,Millones de pesos 2018,11782.00819603239,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2006,upstream,activo,Millones de pesos 2018,412427.69006793527,Activo de YPF y Petrobras,activo upstream
2006,upstream,prop_planta_equipo,Millones de pesos 2018,70419.38394388664,Activo de YPF y Petrobras,prop_planta_equipo upstream
2007,adm_central,activo,Millones de pesos 2018,103440.7541799606,Activo de YPF y Petrobras,activo adm_central
2007,adm_central,prop_planta_equipo,Millones de pesos 2018,1624.3916740320153,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2007,downstream,activo,Millones de pesos 2018,179393.75550091072,Activo de YPF y Petrobras,activo downstream
2007,downstream,prop_planta_equipo,Millones de pesos 2018,16713.467458595034,Activo de YPF y Petrobras,prop_planta_equipo downstream
2007,gas_y_energia,activo,Millones de pesos 2018,67437.63559223538,Activo de YPF y Petrobras,activo gas_y_energia
2007,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,49455.112138302844,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2007,petroquimica,activo,Millones de pesos 2018,54302.90604049213,Activo de YPF y Petrobras,activo petroquimica
2007,petroquimica,prop_planta_equipo,Millones de pesos 2018,12804.774992955496,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2007,upstream,activo,Millones de pesos 2018,358470.247002987,Activo de YPF y Petrobras,activo upstream
2007,upstream,prop_planta_equipo,Millones de pesos 2018,54036.40428147126,Activo de YPF y Petrobras,prop_planta_equipo upstream
2008,adm_central,activo,Millones de pesos 2018,70592.09757805773,Activo de YPF y Petrobras,activo adm_central
2008,adm_central,prop_planta_equipo,Millones de pesos 2018,1262.4209769163062,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2008,downstream,activo,Millones de pesos 2018,138162.66298185673,Activo de YPF y Petrobras,activo downstream
2008,downstream,prop_planta_equipo,Millones de pesos 2018,14155.671282143501,Activo de YPF y Petrobras,prop_planta_equipo downstream
2008,gas_y_energia,activo,Millones de pesos 2018,61931.06185937781,Activo de YPF y Petrobras,activo gas_y_energia
2008,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,43201.70146414409,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2008,petroquimica,activo,Millones de pesos 2018,47102.78923707399,Activo de YPF y Petrobras,activo petroquimica
2008,petroquimica,prop_planta_equipo,Millones de pesos 2018,11630.829328310887,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2008,upstream,activo,Millones de pesos 2018,330505.9508418592,Activo de YPF y Petrobras,activo upstream
2008,upstream,prop_planta_equipo,Millones de pesos 2018,59675.26044160933,Activo de YPF y Petrobras,prop_planta_equipo upstream
2009,adm_central,activo,Millones de pesos 2018,55717.22974103298,Activo de YPF y Petrobras,activo adm_central
2009,adm_central,prop_planta_equipo,Millones de pesos 2018,1000.0990461278559,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2009,downstream,activo,Millones de pesos 2018,128688.4205031006,Activo de YPF y Petrobras,activo downstream
2009,downstream,prop_planta_equipo,Millones de pesos 2018,12298.515296977688,Activo de YPF y Petrobras,prop_planta_equipo downstream
2009,gas_y_energia,activo,Millones de pesos 2018,59465.34868868333,Activo de YPF y Petrobras,activo gas_y_energia
2009,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,38814.65487134057,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2009,petroquimica,activo,Millones de pesos 2018,38183.96177918787,Activo de YPF y Petrobras,activo petroquimica
2009,petroquimica,prop_planta_equipo,Millones de pesos 2018,8054.8517769216505,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2009,upstream,activo,Millones de pesos 2018,295605.8522919714,Activo de YPF y Petrobras,activo upstream
2009,upstream,prop_planta_equipo,Millones de pesos 2018,40094.06085827891,Activo de YPF y Petrobras,prop_planta_equipo upstream
