anio,sector,variable,unidad,fuente,valor
1994,integrada,patrimonio_neto_total,Millones de pesos 2018,S&P Capital IQ,34698.037751675816
1994,integrada,ppye_neta,Millones de pesos 2018,S&P Capital IQ,22012.117389507832
1994,integrada,utilidad_neta,Millones de pesos 2018,S&P Capital IQ,4778.7379037439605
1994,integrada,utilidad_neta_empresa,Millones de pesos 2018,S&P Capital IQ,5105.339436245611
1994,integrada,utilidad_operativa,Millones de pesos 2018,S&P Capital IQ,3782.150572278395
1994,integrada,ventas,Millones de pesos 2018,S&P Capital IQ,28337.487465360235
1994,integrada,ventas_raw,Millones de pesos 2018,S&P Capital IQ,28337.487465360235
1995,integrada,KTA,Millones de pesos 2018,S&P Capital IQ,285770.55480949214
1995,integrada,activo,Millones de pesos 2018,S&P Capital IQ,368480.1329487985
1995,integrada,activo_corr,Millones de pesos 2018,S&P Capital IQ,57743.064614283576
1995,integrada,cash_st_inv,Millones de pesos 2018,S&P Capital IQ,11804.679728241565
1995,integrada,costo_ventas,Millones de pesos 2018,S&P Capital IQ,104884.96348563438
1995,integrada,deuda_lp,Millones de pesos 2018,S&P Capital IQ,82248.65788961368
1995,integrada,deuda_neta,Millones de pesos 2018,S&P Capital IQ,109135.67245502288
1995,integrada,deuda_total,Millones de pesos 2018,S&P Capital IQ,120940.35218326445
1995,integrada,ebit,Millones de pesos 2018,S&P Capital IQ,30651.196604566496
1995,integrada,ebitda,Millones de pesos 2018,S&P Capital IQ,58792.938516361464
1995,integrada,ebt,Millones de pesos 2018,S&P Capital IQ,30651.196604566492
1995,integrada,ganancia_bruta,Millones de pesos 2018,S&P Capital IQ,52672.941867663554
1995,integrada,impuesto_ganancias,Millones de pesos 2018,S&P Capital IQ,2765.521498156375
1995,integrada,inventarios,Millones de pesos 2018,S&P Capital IQ,10831.625867779136
1995,integrada,pasivo,Millones de pesos 2018,S&P Capital IQ,169490.61848423193
1995,integrada,patrimonio_neto,Millones de pesos 2018,S&P Capital IQ,189054.12241563443
1995,integrada,patrimonio_neto_total,Millones de pesos 2018,S&P Capital IQ,198989.5144645666
1995,integrada,ppye,Millones de pesos 2018,S&P Capital IQ,486808.6037171375
1995,integrada,ppye_neta,Millones de pesos 2018,S&P Capital IQ,263134.24921347137
1995,integrada,utilidad_neta,Millones de pesos 2018,S&P Capital IQ,27501.574898332845
1995,integrada,utilidad_neta_empresa,Millones de pesos 2018,S&P Capital IQ,27885.67510641012
1995,integrada,utilidad_operativa,Millones de pesos 2018,S&P Capital IQ,30651.196604566496
1995,integrada,ventas,Millones de pesos 2018,S&P Capital IQ,157557.90535329792
1995,integrada,ventas_raw,Millones de pesos 2018,S&P Capital IQ,157557.90535329792
1996,holding,KTA,Millones de pesos 2018,S&P Capital IQ,10505.864583345949
1996,holding,activo,Millones de pesos 2018,S&P Capital IQ,33167.245384093454
1996,holding,activo_corr,Millones de pesos 2018,S&P Capital IQ,8173.935257515183
1996,holding,cash_st_inv,Millones de pesos 2018,S&P Capital IQ,675.3490679847347
1996,holding,costo_ventas,Millones de pesos 2018,S&P Capital IQ,7867.490664334601
1996,holding,deuda_lp,Millones de pesos 2018,S&P Capital IQ,14590.786861907107
1996,holding,deuda_neta,Millones de pesos 2018,S&P Capital IQ,18282.848501488388
1996,holding,deuda_total,Millones de pesos 2018,S&P Capital IQ,18958.197569473123
1996,holding,ebit,Millones de pesos 2018,S&P Capital IQ,1275.6849175152875
1996,holding,ebitda,Millones de pesos 2018,S&P Capital IQ,1776.4122124795513
1996,holding,ebt,Millones de pesos 2018,S&P Capital IQ,1422.7967303937342
1996,holding,ganancia_bruta,Millones de pesos 2018,S&P Capital IQ,3036.9871054186897
1996,holding,impuesto_ganancias,Millones de pesos 2018,S&P Capital IQ,189.16932629260086
1996,holding,inventarios,Millones de pesos 2018,S&P Capital IQ,1950.4715141960032
1996,holding,pasivo,Millones de pesos 2018,S&P Capital IQ,22103.025763998747
1996,holding,patrimonio_neto,Millones de pesos 2018,S&P Capital IQ,9366.578957055292
1996,holding,patrimonio_neto_total,Millones de pesos 2018,S&P Capital IQ,11064.219620094711
1996,holding,ppye_neta,Millones de pesos 2018,S&P Capital IQ,7880.044001165211
1996,holding,utilidad_neta,Millones de pesos 2018,S&P Capital IQ,929.228161116986
1996,holding,utilidad_neta_empresa,Millones de pesos 2018,S&P Capital IQ,1233.6274041011332
1996,holding,utilidad_operativa,Millones de pesos 2018,S&P Capital IQ,1275.6849175152875
1996,holding,ventas,Millones de pesos 2018,S&P Capital IQ,10904.477769753292
1996,holding,ventas_raw,Millones de pesos 2018,S&P Capital IQ,10904.477769753292
1996,integrada,KTA,Millones de pesos 2018,S&P Capital IQ,304578.2111263352
1996,integrada,activo,Millones de pesos 2018,S&P Capital IQ,397897.31383859273
1996,integrada,activo_corr,Millones de pesos 2018,S&P Capital IQ,57627.741784500926
1996,integrada,cash_st_inv,Millones de pesos 2018,S&P Capital IQ,7670.063236623903
1996,integrada,costo_ventas,Millones de pesos 2018,S&P Capital IQ,113440.23526966752
1996,integrada,deuda_lp,Millones de pesos 2018,S&P Capital IQ,86697.28145130552
1996,integrada,deuda_neta,Millones de pesos 2018,S&P Capital IQ,111062.51566631414
1996,integrada,deuda_total,Millones de pesos 2018,S&P Capital IQ,118732.57890293802
1996,integrada,ebit,Millones de pesos 2018,S&P Capital IQ,45534.60874809057
1996,integrada,ebitda,Millones de pesos 2018,S&P Capital IQ,76496.09734659574
1996,integrada,ebt,Millones de pesos 2018,S&P Capital IQ,42466.58345344101
1996,integrada,ganancia_bruta,Millones de pesos 2018,S&P Capital IQ,67931.19339903237
1996,integrada,impuesto_ganancias,Millones de pesos 2018,S&P Capital IQ,11019.324183283008
1996,integrada,inventarios,Millones de pesos 2018,S&P Capital IQ,10507.986634174747
1996,integrada,pasivo,Millones de pesos 2018,S&P Capital IQ,183979.25016915202
1996,integrada,patrimonio_neto,Millones de pesos 2018,S&P Capital IQ,209443.86011474338
1996,integrada,patrimonio_neto_total,Millones de pesos 2018,S&P Capital IQ,213918.06366944066
1996,integrada,ppye_neta,Millones de pesos 2018,S&P Capital IQ,286400.16125553654
1996,integrada,utilidad_neta,Millones de pesos 2018,S&P Capital IQ,49727.576650778305
1996,integrada,utilidad_neta_empresa,Millones de pesos 2018,S&P Capital IQ,31447.259270158
1996,integrada,utilidad_operativa,Millones de pesos 2018,S&P Capital IQ,45534.60874809057
1996,integrada,ventas,Millones de pesos 2018,S&P Capital IQ,181371.4286686999
1996,integrada,ventas_raw,Millones de pesos 2018,S&P Capital IQ,181371.4286686999
1996,produccion,activo,Millones de pesos 2018,S&P Capital IQ,8312.700712098725
1996,produccion,activo_corr,Millones de pesos 2018,S&P Capital IQ,806.8802467708938
1996,produccion,deuda_lp,Millones de pesos 2018,S&P Capital IQ,1608.7256083570057
1996,produccion,deuda_neta,Millones de pesos 2018,S&P Capital IQ,1669.1788736018873
1996,produccion,deuda_total,Millones de pesos 2018,S&P Capital IQ,1992.9596249700305
1996,produccion,ebit,Millones de pesos 2018,S&P Capital IQ,743.1423280686644
1996,produccion,ebitda,Millones de pesos 2018,S&P Capital IQ,981.3099869617122
1996,produccion,ebt,Millones de pesos 2018,S&P Capital IQ,717.8137850389724
1996,produccion,inventarios,Millones de pesos 2018,S&P Capital IQ,13.28229965002892
1996,produccion,pasivo,Millones de pesos 2018,S&P Capital IQ,2651.091880958152
1996,produccion,patrimonio_neto,Millones de pesos 2018,S&P Capital IQ,5661.608831140572
1996,produccion,patrimonio_neto_total,Millones de pesos 2018,S&P Capital IQ,5661.608831140572
1996,produccion,ppye,Millones de pesos 2018,S&P Capital IQ,6336.555271940708
1996,produccion,ppye_neta,Millones de pesos 2018,S&P Capital IQ,5937.114178919938
1996,produccion,utilidad_neta,Millones de pesos 2018,S&P Capital IQ,717.8137850389724
1996,produccion,utilidad_neta_empresa,Millones de pesos 2018,S&P Capital IQ,717.8137850389724
1996,produccion,utilidad_operativa,Millones de pesos 2018,S&P Capital IQ,743.1423280686644
1996,produccion,ventas,Millones de pesos 2018,S&P Capital IQ,1762.8910926315966
1996,produccion,ventas_raw,Millones de pesos 2018,S&P Capital IQ,1762.8910926315966
1996,transporte,activo,Millones de pesos 2018,S&P Capital IQ,65117.66780789841
1996,transporte,activo_corr,Millones de pesos 2018,S&P Capital IQ,4649.053742200935
1996,transporte,cash_st_inv,Millones de pesos 2018,S&P Capital IQ,1215.8768579882665
1996,transporte,costo_ventas,Millones de pesos 2018,S&P Capital IQ,1480.5598487943614
1996,transporte,deuda_lp,Millones de pesos 2018,S&P Capital IQ,17915.02489199554
1996,transporte,deuda_neta,Millones de pesos 2018,S&P Capital IQ,20809.031740798822
1996,transporte,deuda_total,Millones de pesos 2018,S&P Capital IQ,23378.64919317375
1996,transporte,ebit,Millones de pesos 2018,S&P Capital IQ,9372.590420250746
1996,transporte,ebitda,Millones de pesos 2018,S&P Capital IQ,11074.473241865086
1996,transporte,ebt,Millones de pesos 2018,S&P Capital IQ,7786.728631217061
1996,transporte,ganancia_bruta,Millones de pesos 2018,S&P Capital IQ,2687.5568189048136
1996,transporte,impuesto_ganancias,Millones de pesos 2018,S&P Capital IQ,2453.8068351957386
1996,transporte,inventarios,Millones de pesos 2018,S&P Capital IQ,48.01459586126563
1996,transporte,pasivo,Millones de pesos 2018,S&P Capital IQ,25983.861363679658
1996,transporte,patrimonio_neto,Millones de pesos 2018,S&P Capital IQ,39133.80644421875
1996,transporte,patrimonio_neto_total,Millones de pesos 2018,S&P Capital IQ,39133.80644421875
1996,transporte,ppye,Millones de pesos 2018,S&P Capital IQ,64066.303784119766
1996,transporte,ppye_neta,Millones de pesos 2018,S&P Capital IQ,59245.11712771801
1996,transporte,utilidad_neta,Millones de pesos 2018,S&P Capital IQ,6434.4982722816885
1996,transporte,utilidad_neta_empresa,Millones de pesos 2018,S&P Capital IQ,5332.921796021323
1996,transporte,utilidad_operativa,Millones de pesos 2018,S&P Capital IQ,9372.590420250746
1996,transporte,ventas,Millones de pesos 2018,S&P Capital IQ,14450.884678369188
1996,transporte,ventas_raw,Millones de pesos 2018,S&P Capital IQ,14450.884678369188
1997,holding,KTA,Millones de pesos 2018,S&P Capital IQ,13782.11990019992
1997,holding,activo,Millones de pesos 2018,S&P Capital IQ,35986.141995984355
