AÑO;MES;BRENT;CAÑADON SECO;ESCALANTE;HIDRA;MAGALLANES;MARÍA INÉS;MEDANITO;MENDOZA NORTE;NOROESTE;SAN SEBASTIÁN;TOTAL TIPO DE CRUDO;WTI
1996;1;112.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;118.63
;2;113.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;120.07
;3;124.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;134.16
;4;131.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;147.81
;5;120.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;133.16
;6;116.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;128.44
;7;123.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;133.97
;8;129.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;137.75
;9;142.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;150.77
;10;151.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;156.49
;11;143.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;149.13
;12;149.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;158.69
1997;1;148.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;158.06
;2;131.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;139.51
;3;120.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;131.90
;4;110.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;123.91
;5;119.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;130.95
;6;110.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;121.14
;7;116.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;123.66
;8;116.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;125.48
;9;116.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;124.54
;10;124.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;134.16
;11;120.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;126.99
;12;108.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;115.29
1998;1;95.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;105.17
;2;88.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;101.01
;3;82.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;95.10
;4;85.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;96.55
;5;90.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;93.78
;6;76.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;86.30
;7;75.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.13
;8;74.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;84.72
;9;83.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;94.54
;10;79.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90.95
;11;69.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81.77
;12;61.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;71.39
1999;1;69.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;78.75
;2;64.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;75.54
;3;78.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;92.33
;4;96.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;108.88
;5;95.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;111.46
;6;99.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;112.71
;7;120.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;126.42
;8;127.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;133.85
