AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
;2; 537,269.69 ; 212,561.78 ; 3,564.31 ; 214,619.48 ; 1,532,420.59 ; 208,994.89 ; 2,709,430.73 
;3; 645,372.23 ; 209,954.81 ; 3,895.50 ; 242,638.15 ; 1,602,605.67 ; 225,727.38 ; 2,930,193.75 
;4; 517,401.67 ; 199,593.78 ; 3,496.98 ; 230,206.62 ; 1,598,983.85 ; 211,930.38 ; 2,761,613.28 
;5; 882,666.47 ; 250,911.79 ; 3,433.48 ; 544,182.65 ; 1,551,364.04 ; 384,262.39 ; 3,616,820.82 
;6; 586,758.44 ; 190,552.71 ; 1,965.97 ; 226,456.50 ; 1,795,389.55 ; 193,084.63 ; 2,994,207.80 
;7; 644,639.25 ; 209,950.82 ; 2,989.16 ; 235,766.55 ; 1,708,800.53 ; 215,058.44 ; 3,017,204.76 
;8; 621,511.60 ; 208,918.77 ; 3,048.91 ; 229,026.65 ; 1,718,019.10 ; 230,929.15 ; 3,011,454.19 
;9; 603,138.65 ; 202,478.28 ; 3,512.62 ; 230,936.80 ; 1,626,292.76 ; 223,005.16 ; 2,889,364.27 
;10; 522,949.95 ; 197,345.70 ; 3,768.82 ; 260,192.73 ; 1,773,041.57 ; 227,256.04 ; 2,984,554.81 
;11; 557,658.51 ; 165,432.10 ; 3,848.16 ; 241,732.06 ; 1,684,191.58 ; 217,713.97 ; 2,870,576.38 
;12; 599,124.58 ; 168,578.91 ; 4,079.84 ; 233,128.42 ; 1,808,022.06 ; 229,556.30 ; 3,042,490.11 
2015;1; 617,050.66 ; 201,669.41 ; 4,021.51 ; 243,660.84 ; 1,723,514.96 ; 235,508.52 ; 3,025,425.90 
;2; 532,215.16 ; 185,691.10 ; 3,591.87 ; 225,378.52 ; 1,788,779.94 ; 222,750.61 ; 2,958,407.20 
;3; 549,454.27 ; 190,479.86 ; 3,922.53 ; 257,474.82 ; 1,778,029.73 ; 229,688.55 ; 3,009,049.75 
;4; 591,797.10 ; 184,998.69 ; 3,941.83 ; 249,682.53 ; 1,715,426.03 ; 240,815.63 ; 2,986,661.81 
;5; 643,551.77 ; 187,491.91 ; 3,820.42 ; 246,637.21 ; 1,681,104.35 ; 234,699.01 ; 2,997,304.67 
;6; 608,280.01 ; 178,005.91 ; 3,494.24 ; 236,927.34 ; 1,730,934.41 ; 227,546.44 ; 2,985,188.34 
;7; 596,211.66 ; 171,519.59 ; 3,562.51 ; 255,005.96 ; 1,803,694.06 ; 230,746.29 ; 3,060,740.08 
;8; 637,160.68 ; 174,584.49 ; 3,351.57 ; 261,757.49 ; 2,001,801.82 ; 231,007.23 ; 3,309,663.29 
;9; 575,036.89 ; 169,197.77 ; 878.10 ; 251,990.50 ; 1,902,114.04 ; 224,498.90 ; 3,123,716.19 
;10; 654,482.67 ; 175,400.63 ; 3,137.64 ; 266,524.22 ; 1,993,924.40 ; 231,620.94 ; 3,325,090.50 
;11; 590,802.38 ; 172,675.25 ; 3,609.87 ; 270,752.49 ; 1,944,140.94 ; 219,878.81 ; 3,201,859.74 
