AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
;6;45,543.53;46,181.55;105,941.34;1,068,596.49;972,230.97;9,129.34;2,247,623.21
;7;48,495.99;46,157.15;111,817.65;1,106,331.69;1,044,755.01;9,359.85;2,366,917.34
;8;47,344.61;48,030.57;112,169.36;1,108,583.65;1,076,855.31;9,285.49;2,402,268.98
;9;43,712.17;42,956.11;106,067.40;1,071,844.34;1,045,878.18;9,157.59;2,319,615.80
;10;41,500.76;38,582.17;110,256.53;1,106,990.11;1,103,315.72;9,284.03;2,409,929.30
;11;39,768.46;33,354.42;103,585.26;1,067,932.81;1,048,165.91;10,363.36;2,303,170.22
;12;41,820.46;37,121.24;106,392.31;1,105,704.09;1,161,511.24;10,249.82;2,462,799.16
2020;1;42,851.60;37,290.64;103,737.74;1,086,592.75;1,106,097.66;10,127.04;2,386,697.43
;2;40,932.77;29,806.06;98,625.83;1,024,035.66;1,079,016.58;9,250.87;2,281,667.77
;3;39,820.63;29,621.46;105,670.40;1,105,386.05;1,173,257.43;10,237.03;2,463,992.99
;4;30,373.83;16,884.55;95,145.54;1,053,424.34;900,450.53;8,659.59;2,104,938.39
;5;33,493.00;16,007.35;92,681.60;1,047,006.49;904,009.72;8,058.94;2,101,257.10
;6;40,653.76;14,415.00;105,186.81;993,004.18;1,006,619.07;7,656.99;2,167,535.80
;7;42,302.83;13,842.10;119,177.44;997,040.71;1,040,419.70;8,381.57;2,221,164.36
;8;41,562.93;15,979.18;128,133.71;992,021.25;1,045,671.31;8,726.83;2,232,095.22
;9;36,818.75;33,302.83;120,343.99;978,840.09;970,969.01;8,683.94;2,148,958.61
;10;38,898.74;34,059.37;122,809.45;1,017,667.31;1,015,361.21;9,096.20;2,237,892.28
;11;34,678.33;32,046.21;118,008.05;978,195.23;996,252.20;7,580.82;2,166,760.84
;12;39,110.38;32,858.16;122,086.88;1,026,449.05;1,051,037.86;7,730.39;2,279,272.73
2021;1;38,525.79;31,754.68;122,321.66;1,020,185.79;1,089,757.18;5,378.93;2,307,924.02
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
