Año;Mes;Producto;Datos;Total
;;;Suma de Toneladas;128
;;;Suma de ValorFOB;39188
;;TOLUENO;Suma de M3;25
;;;Suma de Toneladas;25
;;;Suma de ValorFOB;11434
;10;ACEITE PARA TRANSFORMADOR;Suma de M3;46
;;;Suma de Toneladas;41
;;;Suma de ValorFOB;33072
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;1384
;;;Suma de Toneladas;1233
;;;Suma de ValorFOB;807759
;;AERONAFTAS;Suma de M3;35
;;;Suma de Toneladas;25
;;;Suma de ValorFOB;17500
;;ASFALTOS;Suma de M3;78
;;;Suma de Toneladas;78
;;;Suma de ValorFOB;11310
;;BASES LUBRICANTES;Suma de M3;1327
;;;Suma de Toneladas;1149
;;;Suma de ValorFOB;415962
;;BUTANO PETROQUIMICO;Suma de M3;1767
;;;Suma de Toneladas;1164
;;;Suma de ValorFOB;323014
;;FUEL OIL, AZUFRE <1%;Suma de M3;37181
;;;Suma de Toneladas;36372
;;;Suma de ValorFOB;6548000
;;GAS OIL;Suma de M3;8670
;;;Suma de Toneladas;6919
;;;Suma de ValorFOB;2556198
;;GRASAS;Suma de M3;18
;;;Suma de Toneladas;16
;;;Suma de ValorFOB;15218
;;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;Suma de M3;24
;;;Suma de Toneladas;22
;;;Suma de ValorFOB;22767
;;NAFTA COMUN >83 RON;Suma de M3;60858
;;;Suma de Toneladas;42950
;;;Suma de ValorFOB;12426818
;;NAFTA VIRGEN;Suma de M3;55314
;;;Suma de Toneladas;38298
;;;Suma de ValorFOB;10766535
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;1378
;;;Suma de Toneladas;1055
;;;Suma de ValorFOB;486285
;;PROPANO USO PETROQUIMICO;Suma de M3;485
;;;Suma de Toneladas;317
;;;Suma de ValorFOB;96606
;11;AEROKEROSENE;Suma de M3;1045
;;;Suma de Toneladas;831
;;;Suma de ValorFOB;278329
;;AGUARRAS;Suma de M3;1584
;;;Suma de Toneladas;34.1
;;;Suma de ValorFOB;434909
;;ASFALTOS;Suma de M3;77
;;;Suma de Toneladas;1067
;;;Suma de ValorFOB;155875
;;BUTANO NO PETROQUIMICO;Suma de M3;2176
;;;Suma de Toneladas;1893.49
;;;Suma de ValorFOB;504421.46
;;FUEL OIL, AZUFRE <1%;Suma de M3;35129
;;;Suma de Toneladas;57889
;;;Suma de ValorFOB;9591677
;;GAS OIL;Suma de M3;83923.36
;;;Suma de Toneladas;15253.12
;;;Suma de ValorFOB;22993633.7
;;GASOLINA NATURAL;Suma de M3;3622
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;648504
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;39000
;;;Suma de ValorFOB;12029072
;;GRASAS;Suma de M3;11
;;;Suma de Toneladas;11
;;;Suma de ValorFOB;11740
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;1390.9
;;;Suma de Toneladas;1268.2
;;;Suma de ValorFOB;1090896
;;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;Suma de M3;120
;;;Suma de Toneladas;108
;;;Suma de ValorFOB;117805
;;NAFTA COMUN >83 RON;Suma de M3;131111
;;;Suma de Toneladas;12723
;;;Suma de ValorFOB;26363452
;;NAFTA SUPER >93 RON;Suma de M3;44404.4
;;;Suma de Toneladas;15196.1
;;;Suma de ValorFOB;9626069
;;NAFTA ULTRA >97 RON;Suma de M3;23252.9
;;;Suma de Toneladas;248
;;;Suma de ValorFOB;5421166
;;NAFTA VIRGEN;Suma de M3;81976
;;;Suma de Toneladas;41859
;;;Suma de ValorFOB;16051291
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;81365.1
;;;Suma de Toneladas;46948
;;;Suma de ValorFOB;16046720
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;1803
;;;Suma de Toneladas;1310.3
;;;Suma de ValorFOB;622000
;;PETROLEO;Suma de M3;420391
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;69386711
;;PROPANO NO PETROQUIMICO;Suma de M3;1198
;;;Suma de Toneladas;1074.27
;;;Suma de ValorFOB;333207.7
;;XILENO;Suma de M3;1694
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;610128
;12;AEROKEROSENE;Suma de M3;12117
;;;Suma de Toneladas;1448
;;;Suma de ValorFOB;2856556
;;AGUARRAS;Suma de M3;19.9
;;;Suma de Toneladas;15.8
;;;Suma de ValorFOB;7000
;;ASFALTOS;Suma de M3;6446
;;;Suma de Toneladas;4736
;;;Suma de ValorFOB;1528276
;;BASES LUBRICANTES;Suma de M3;5225
;;;Suma de Toneladas;4480
;;;Suma de ValorFOB;1909214
;;BUTANO NO PETROQUIMICO;Suma de M3;6135.6
;;;Suma de Toneladas;7017.7
;;;Suma de ValorFOB;2406283.92
;;DIESEL OIL;Suma de M3;10827.15
;;;Suma de Toneladas;9533.31
;;;Suma de ValorFOB;2565709
;;FUEL OIL, AZUFRE <1%;Suma de M3;79682.45
;;;Suma de Toneladas;120945.11
;;;Suma de ValorFOB;16937768.76
;;GAS OIL;Suma de M3;127236.42
;;;Suma de Toneladas;13384.86
;;;Suma de ValorFOB;29794228.58
;;GASOLINA NATURAL;Suma de M3;2942
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;525053
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;51217
;;;Suma de ValorFOB;19029519
;;GRASAS;Suma de M3;18
;;;Suma de Toneladas;17
;;;Suma de ValorFOB;15009
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;1090
;;;Suma de Toneladas;1012
;;;Suma de ValorFOB;610651
;;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;Suma de M3;60
;;;Suma de Toneladas;53
;;;Suma de ValorFOB;45528
;;NAFTA COMUN >83 RON;Suma de M3;217765.8
;;;Suma de Toneladas;50878.8
;;;Suma de ValorFOB;39492701.4
;;NAFTA SUPER >93 RON;Suma de M3;46139
;;;Suma de Toneladas;14914
;;;Suma de ValorFOB;9332490
;;NAFTA ULTRA >97 RON;Suma de M3;4104
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;837731
;;NAFTA VIRGEN;Suma de M3;113041
;;;Suma de Toneladas;30282
;;;Suma de ValorFOB;17636313
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;14596
;;;Suma de Toneladas;1490
;;;Suma de ValorFOB;2717699
;;OTROS ADITIVOS;Suma de M3;1
;;;Suma de Toneladas;1
;;;Suma de ValorFOB;1427
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;218.9
;;;Suma de Toneladas;159
;;;Suma de ValorFOB;51000
;;PETROLEO;Suma de M3;471282
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;78129990
;;PROPANO NO PETROQUIMICO;Suma de M3;5481
;;;Suma de Toneladas;3579
;;;Suma de ValorFOB;1403176
2001;1;AEROKEROSENE;Suma de M3;1005.33
;;;Suma de Toneladas;802.7
;;;Suma de ValorFOB;258720
;;AGUARRAS;Suma de M3;1596
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;580944
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;1125
;;;Suma de ValorFOB;331496
;;BASES LUBRICANTES;Suma de M3;3279
;;;Suma de Toneladas;542
;;;Suma de ValorFOB;1357847
;;BUTANO NO PETROQUIMICO;Suma de M3;0
;;;Suma de Toneladas;12358
;;;Suma de ValorFOB;4297384
;;BUTANO PETROQUIMICO;Suma de M3;3789
;;;Suma de Toneladas;2474
;;;Suma de ValorFOB;692737
;;CICLO HEXANO;Suma de M3;13972
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5085808
;;DIESEL OIL;Suma de M3;20011
;;;Suma de Toneladas;17600
;;;Suma de ValorFOB;3134007
;;FUEL OIL, AZUFRE <1%;Suma de M3;39619.1
;;;Suma de Toneladas;96903
;;;Suma de ValorFOB;13059212
;;GAS NATURAL;Suma de M3;497130425
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;23473740
;;GAS OIL;Suma de M3;136827.2
;;;Suma de Toneladas;8382.09
;;;Suma de ValorFOB;32301517
;;GASOLINA NATURAL;Suma de M3;11332
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1681413
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;28203
;;;Suma de ValorFOB;9525883
;;GRASAS;Suma de M3;10
;;;Suma de Toneladas;9
;;;Suma de ValorFOB;8078
;;HEXANO;Suma de M3;524
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;190736
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;385
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;311816
;;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;Suma de M3;32
;;;Suma de Toneladas;29
;;;Suma de ValorFOB;1069344
;;NAFTA COMUN >83 RON;Suma de M3;96889.5
;;;Suma de Toneladas;16731.6
;;;Suma de ValorFOB;18937867
;;NAFTA SUPER >93 RON;Suma de M3;65627.2
;;;Suma de Toneladas;16108.1
;;;Suma de ValorFOB;13778500.9
;;NAFTA ULTRA >97 RON;Suma de M3;430.5
;;;Suma de Toneladas;327.4
;;;Suma de ValorFOB;91708.5
;;NAFTA VIRGEN;Suma de M3;62025
;;;Suma de Toneladas;21722
;;;Suma de ValorFOB;10855337
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;29275.7
;;;Suma de Toneladas;5348.4
;;;Suma de ValorFOB;5361410
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;501.7
;;;Suma de Toneladas;449.7
;;;Suma de ValorFOB;163919
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;509
;;;Suma de ValorFOB;152478
;;PETROLEO;Suma de M3;1199221
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;188271212
;;PROPANO NO PETROQUIMICO;Suma de M3;1544
;;;Suma de Toneladas;1577
;;;Suma de ValorFOB;491189
;;PROPANO USO PETROQUIMICO;Suma de M3;0
;;;Suma de Toneladas;4411
;;;Suma de ValorFOB;1735904
;;TOLUENO;Suma de M3;1268
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;528721
;;XILENO;Suma de M3;4652
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1742741
;2;AEROKEROSENE;Suma de M3;2063
;;;Suma de Toneladas;1644
;;;Suma de ValorFOB;508434
;;AGUARRAS;Suma de M3;550
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;200200
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;503
;;;Suma de ValorFOB;77168
;;BASES LUBRICANTES;Suma de M3;4498
;;;Suma de Toneladas;1891
;;;Suma de ValorFOB;1757366
;;BUTANO NO PETROQUIMICO;Suma de M3;0
;;;Suma de Toneladas;7208
;;;Suma de ValorFOB;1932929
;;BUTANO PETROQUIMICO;Suma de M3;3314
;;;Suma de Toneladas;2164
;;;Suma de ValorFOB;605842
;;CICLO HEXANO;Suma de M3;9445
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3437980
;;DIESEL OIL;Suma de M3;10718.8
;;;Suma de Toneladas;9489.4
;;;Suma de ValorFOB;1812230.39
;;FUEL OIL, AZUFRE <1%;Suma de M3;28673.5
;;;Suma de Toneladas;31834.5
;;;Suma de ValorFOB;4269907.49
;;GAS NATURAL;Suma de M3;461894690
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;22352260
;;GAS OIL;Suma de M3;85494.5
;;;Suma de Toneladas;14758.5
;;;Suma de ValorFOB;19465386.82
;;GASOLINA NATURAL;Suma de M3;9343
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1528384
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;36954
;;;Suma de ValorFOB;11470365
;;GRASAS;Suma de M3;12
;;;Suma de Toneladas;18
;;;Suma de ValorFOB;15801
;;HEXANO;Suma de M3;187
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;69174
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;526
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;426442
;;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;Suma de M3;47
;;;Suma de Toneladas;41
;;;Suma de ValorFOB;37984
;;NAFTA COMUN >83 RON;Suma de M3;47763.4
;;;Suma de Toneladas;42314
;;;Suma de ValorFOB;8318759.28
;;NAFTA SUPER >93 RON;Suma de M3;36610.6
;;;Suma de Toneladas;12766
;;;Suma de ValorFOB;7910337.39
;;NAFTA ULTRA >97 RON;Suma de M3;18569.6
;;;Suma de Toneladas;1907.4
;;;Suma de ValorFOB;4467751.33
;;NAFTA VIRGEN;Suma de M3;50563
;;;Suma de Toneladas;19139
;;;Suma de ValorFOB;8708115
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;43735
;;;Suma de Toneladas;29283
;;;Suma de ValorFOB;6822800
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;1003.9
;;;Suma de Toneladas;28576.6
;;;Suma de ValorFOB;4046071
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;663
;;;Suma de ValorFOB;187581
;;PETROLEO;Suma de M3;1122340
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;177603269
;;PROPANO NO PETROQUIMICO;Suma de M3;1507
;;;Suma de Toneladas;984
;;;Suma de ValorFOB;313334
;;TOLUENO;Suma de M3;651
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;243208
;;XILENO;Suma de M3;7098
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2660970
;3;ADITIVOS LUBRICANTES;Suma de M3;1
;;;Suma de Toneladas;1
;;;Suma de ValorFOB;1427
;;AEROKEROSENE;Suma de M3;9067
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2649544
;;AERONAFTAS;Suma de M3;897
;;;Suma de Toneladas;716
;;;Suma de ValorFOB;231600.96
;;AGUARRAS;Suma de M3;1344
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;489216
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;381
;;;Suma de ValorFOB;62946
;;BASES LUBRICANTES;Suma de M3;8614
;;;Suma de Toneladas;7429
;;;Suma de ValorFOB;3173446
;;BUTANO NO PETROQUIMICO;Suma de M3;0
;;;Suma de Toneladas;7172
;;;Suma de ValorFOB;1667936
;;BUTANO PETROQUIMICO;Suma de M3;3808
;;;Suma de Toneladas;2487
;;;Suma de ValorFOB;696265
;;CICLO HEXANO;Suma de M3;7266
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2644824
;;FUEL OIL, AZUFRE <1%;Suma de M3;43237
;;;Suma de Toneladas;103991
;;;Suma de ValorFOB;12532870
;;GAS NATURAL;Suma de M3;574930000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;27980000
;;GAS OIL;Suma de M3;138164
;;;Suma de Toneladas;40570
;;;Suma de ValorFOB;24874148.39
;;GASOLINA NATURAL;Suma de M3;17751
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3049055
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;43176
;;;Suma de ValorFOB;11317673
;;GRASAS;Suma de M3;23
;;;Suma de Toneladas;195
;;;Suma de ValorFOB;186663
;;HEXANO;Suma de M3;211
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;78594
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;715.3
;;;Suma de Toneladas;294.2
;;;Suma de ValorFOB;626450.17
;;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;Suma de M3;66
;;;Suma de Toneladas;58
;;;Suma de ValorFOB;57939
;;NAFTA COMUN >83 RON;Suma de M3;53431
;;;Suma de Toneladas;10081
;;;Suma de ValorFOB;10094547.68
;;NAFTA SUPER >93 RON;Suma de M3;123719
;;;Suma de Toneladas;15205
;;;Suma de ValorFOB;26609255
;;NAFTA ULTRA >97 RON;Suma de M3;32963
;;;Suma de Toneladas;112
;;;Suma de ValorFOB;7409060.41
;;NAFTA VIRGEN;Suma de M3;66062
;;;Suma de Toneladas;6738
;;;Suma de ValorFOB;9872133.77
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;105748
;;;Suma de Toneladas;15597
;;;Suma de ValorFOB;3732750.4
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;932.4
;;;Suma de Toneladas;713.4
;;;Suma de ValorFOB;257612
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;502
;;;Suma de ValorFOB;154773
;;PETROLEO;Suma de M3;1157297
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;172110734
;;PROPANO NO PETROQUIMICO;Suma de M3;1549
;;;Suma de Toneladas;8801
;;;Suma de ValorFOB;2265125
;;TOLUENO;Suma de M3;656
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;246559
;;XILENO;Suma de M3;5069
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1900019
;4;ADITIVOS PARA COMBUSTIBLES;Suma de M3;4
;;;Suma de Toneladas;4
;;;Suma de ValorFOB;5709
;;AEROKEROSENE;Suma de M3;9939
;;;Suma de Toneladas;802
;;;Suma de ValorFOB;1314354
;;AGUARRAS;Suma de M3;2303
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;838292
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;3100
;;;Suma de ValorFOB;411141
;;BASES LUBRICANTES;Suma de M3;213
;;;Suma de Toneladas;7
;;;Suma de ValorFOB;70351
;;BUTANO NO PETROQUIMICO;Suma de M3;3113
;;;Suma de Toneladas;3570
;;;Suma de ValorFOB;883168
;;CICLO HEXANO;Suma de M3;10467
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3809988
;;FUEL OIL, AZUFRE <1%;Suma de M3;110
;;;Suma de Toneladas;55052
;;;Suma de ValorFOB;6703502
;;GAS NATURAL;Suma de M3;566810000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;27820000
;;GAS OIL;Suma de M3;199616
;;;Suma de Toneladas;83244
;;;Suma de ValorFOB;37014141.52
;;GASOLINA NATURAL;Suma de M3;5288
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;836814
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;37366
;;;Suma de ValorFOB;9774439
;;GRASAS;Suma de M3;23
;;;Suma de Toneladas;29
;;;Suma de ValorFOB;27012
;;HEXANO;Suma de M3;401
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;135325
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;2031.2
;;;Suma de Toneladas;1261.4
;;;Suma de ValorFOB;1556438.18
;;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;Suma de M3;2
;;;Suma de Toneladas;2
;;;Suma de ValorFOB;2915
;;NAFTA COMUN >83 RON;Suma de M3;19124
;;;Suma de Toneladas;4712
;;;Suma de ValorFOB;3930851.15
;;NAFTA SUPER >93 RON;Suma de M3;192211
;;;Suma de Toneladas;14270
;;;Suma de ValorFOB;25912915.89
;;NAFTA ULTRA >97 RON;Suma de M3;6514
;;;Suma de Toneladas;1586
;;;Suma de ValorFOB;1222023.53
;;NAFTA VIRGEN;Suma de M3;65719
;;;Suma de Toneladas;58650
;;;Suma de ValorFOB;14374271
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;27120
;;;Suma de Toneladas;19106
;;;Suma de ValorFOB;5616791.68
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;303.7
;;;Suma de Toneladas;3301.5
;;;Suma de ValorFOB;677451
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;334
;;;Suma de ValorFOB;94026
;;PETROLEO;Suma de M3;1496854
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;212879181
;;PROPANO NO PETROQUIMICO;Suma de M3;1486
;;;Suma de Toneladas;5640
;;;Suma de ValorFOB;1468647
;;TOLUENO;Suma de M3;534
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;197608
;;XILENO;Suma de M3;4573
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1715461
;5;ADITIVOS LUBRICANTES;Suma de M3;35
;;;Suma de Toneladas;32
;;;Suma de ValorFOB;30499
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;8
;;;Suma de Toneladas;8
;;;Suma de ValorFOB;9791
;;AEROKEROSENE;Suma de M3;12117
;;;Suma de Toneladas;1750
;;;Suma de ValorFOB;2684143
;;AGUARRAS;Suma de M3;1346
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;489944
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;6765.14
;;;Suma de ValorFOB;958293.26
;;BASES LUBRICANTES;Suma de M3;10238
;;;Suma de Toneladas;5175
;;;Suma de ValorFOB;3292339
;;BUTANO NO PETROQUIMICO;Suma de M3;2615
;;;Suma de Toneladas;7067
;;;Suma de ValorFOB;1598182
;;CICLO HEXANO;Suma de M3;4453
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1620892
;;FUEL OIL, AZUFRE <1%;Suma de M3;42889
;;;Suma de Toneladas;103226
;;;Suma de ValorFOB;13268928
;;GAS NATURAL;Suma de M3;613550000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;32030000
;;GAS OIL;Suma de M3;123273.55
;;;Suma de Toneladas;26776
;;;Suma de ValorFOB;25723794.66
;;GASOLINA NATURAL;Suma de M3;10269
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1769235
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;40497
;;;Suma de ValorFOB;9679161
;;GRASAS;Suma de M3;35
;;;Suma de Toneladas;45
;;;Suma de ValorFOB;44172
;;HEXANO;Suma de M3;514.02
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;192961.48
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;2850
;;;Suma de Toneladas;1909.2
;;;Suma de ValorFOB;1899000.03
;;NAFTA COMUN >83 RON;Suma de M3;62798
;;;Suma de Toneladas;2294
;;;Suma de ValorFOB;13076245
;;NAFTA SUPER >93 RON;Suma de M3;160551
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;34843257
;;NAFTA ULTRA >97 RON;Suma de M3;20960
;;;Suma de Toneladas;115986
;;;Suma de ValorFOB;5103149
;;NAFTA VIRGEN;Suma de M3;57094
;;;Suma de Toneladas;23098
;;;Suma de ValorFOB;10683564
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;42039
;;;Suma de Toneladas;14942
;;;Suma de ValorFOB;7079483
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;10391.71
;;;Suma de Toneladas;527
;;;Suma de ValorFOB;2741936.04
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;327
;;;Suma de ValorFOB;89556.25
;;PETROLEO;Suma de M3;1450786
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;230178066
;;PROPANO NO PETROQUIMICO;Suma de M3;5360
;;;Suma de Toneladas;8118
;;;Suma de ValorFOB;2131180
;;TOLUENO;Suma de M3;628.48
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;236501.6
;;XILENO;Suma de M3;4922.48
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1848724.6
;6;ADITIVOS LUBRICANTES;Suma de M3;39
;;;Suma de Toneladas;35
;;;Suma de ValorFOB;34666
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;4
;;;Suma de Toneladas;4
;;;Suma de ValorFOB;5227
;;AEROKEROSENE;Suma de M3;1999
;;;Suma de Toneladas;1535
;;;Suma de ValorFOB;480500.56
;;ASFALTOS;Suma de M3;26
;;;Suma de Toneladas;9135
;;;Suma de ValorFOB;1325949
;;BASES LUBRICANTES;Suma de M3;12898
;;;Suma de Toneladas;3567
;;;Suma de ValorFOB;3850878
;;BUTANO NO PETROQUIMICO;Suma de M3;3028
;;;Suma de Toneladas;7098
;;;Suma de ValorFOB;1521345
;;CICLO HEXANO;Suma de M3;5319
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1423240
;;GAS NATURAL;Suma de M3;501780000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;26260000
;;GAS OIL;Suma de M3;123400
;;;Suma de Toneladas;17300
;;;Suma de ValorFOB;26384053.99
;;GASOLINA NATURAL;Suma de M3;11847
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1693387
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;25833
;;;Suma de ValorFOB;5900269
;;GRASAS;Suma de M3;13
;;;Suma de Toneladas;18
;;;Suma de ValorFOB;16735
;;HEXANO;Suma de M3;263
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;98032
;;LUBRICANTE AUTO, EXCLUIDO GRASAS;Suma de M3;1411
;;;Suma de Toneladas;869
;;;Suma de ValorFOB;1131968
;;METIL TERBUTIL ETER (MTBE);Suma de M3;169
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;40369
;;NAFTA COMUN >83 RON;Suma de M3;4809
;;;Suma de Toneladas;3237
;;;Suma de ValorFOB;1027861.76
;;NAFTA SUPER >93 RON;Suma de M3;163973
;;;Suma de Toneladas;33967
;;;Suma de ValorFOB;28639871.04
;;NAFTA ULTRA >97 RON;Suma de M3;697
;;;Suma de Toneladas;75
;;;Suma de ValorFOB;167369.88
;;NAFTA VIRGEN;Suma de M3;53333
;;;Suma de Toneladas;24121
;;;Suma de ValorFOB;8934431
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;62861
;;;Suma de Toneladas;39269
;;;Suma de ValorFOB;9702306
;;OTROS PRODUCTOS PETROQUIMICOS;Suma de M3;1261
;;;Suma de Toneladas;909
;;;Suma de ValorFOB;340000
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;229
;;;Suma de ValorFOB;67286
;;PETROLEO;Suma de M3;1282666
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;191461270
;;PROPANO NO PETROQUIMICO;Suma de M3;3540
;;;Suma de Toneladas;6141
;;;Suma de ValorFOB;1554961
;;TOLUENO;Suma de M3;644
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;247495
;;XILENO;Suma de M3;151
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;56625
;7;ADITIVOS PARA COMBUSTIBLES;Suma de M3;4
;;;Suma de Toneladas;4
;;;Suma de ValorFOB;5710
;;AEROKEROSENE;Suma de M3;2941
;;;Suma de Toneladas;2333
;;;Suma de ValorFOB;683786.68
;;ASFALTOS;Suma de M3;22
;;;Suma de Toneladas;8911
;;;Suma de ValorFOB;1357943
;;BASES LUBRICANTES;Suma de M3;3022
;;;Suma de Toneladas;2587
;;;Suma de ValorFOB;1009123
;;BUTANO NO PETROQUIMICO;Suma de M3;2860
;;;Suma de Toneladas;11605
;;;Suma de ValorFOB;2042842
;;CICLO HEXANO;Suma de M3;158
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;57512
;;FUEL OIL, AZUFRE <1%;Suma de M3;14017
;;;Suma de Toneladas;14849
;;;Suma de ValorFOB;1382855
;;GAS NATURAL;Suma de M3;487800000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;26770000
;;GAS OIL;Suma de M3;120107
;;;Suma de Toneladas;15721
;;;Suma de ValorFOB;23498719.04
;;GASOLINA NATURAL;Suma de M3;9737
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1205921
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;43866
;;;Suma de ValorFOB;8872992
;;GRASAS;Suma de M3;19
;;;Suma de Toneladas;18
;;;Suma de ValorFOB;447077
;;HEXANO;Suma de M3;335
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;123989
