Año;Mes;ACEITE PARA TRANSFORMADOR;ADITIVOS LUBRICANTES;ADITIVOS PARA COMBUSTIBLES;AEROKEROSENE;AERONAFTAS;AGUARRAS;ASFALTOS;BASES LUBRICANTES;BENZENO;BETUN DE PETROLEO;BUTANO NO PETROQUIMICO;BUTANO PETROQUIMICO;CARBON MINERAL;CICLO HEXANO;COQUE;CORTES DE GAS OIL;DIESEL OIL;DILUYENTES;EMULSIVOS;FUEL OIL, AZUFRE <1%;FUEL OIL, AZUFRE >1%;GAS NATURAL;GAS OIL;GASOLINA NATURAL;GLP A GRANEL;GLP ENVASADO;GRASAS;HEXANO;KEROSENE;LINEAL ALQUIL BENCENO;LUBRICANTE AUTO, EXCLUIDO GRASAS;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;METIL TERBUTIL ETER (MTBE);NAFTA COMUN >83 RON;NAFTA COMUN CON PLOMO;NAFTA SUPER >93 RON;NAFTA SUPER CON PLOMO;NAFTA ULTRA >97 RON;NAFTA VIRGEN;OTRAS NAFTAS O CORTES DE ELLAS;OTROS ADITIVOS;OTROS PRODUCTOS PETROQUIMICOS;PARAFINAS;PETROLEO;PETROLEO CAÑADON SECO (SANTA CRUZ NORTE);PETROLEO ESCALANTE (CHUBUT);PETROLEO MAGALLANES;PROPANO NO PETROQUIMICO;PROPANO USO PETROQUIMICO;PROPELENTE;SOLVENTES ALIFATICOS;SOLVENTES AROMATICOS;SOLVENTES HEXANO;TOLUENO;VASELINA MINERAL;XILENO;ACEITE PARA TRANSFORMADOR;ADITIVOS LUBRICANTES;ADITIVOS PARA COMBUSTIBLES;AEROKEROSENE;AERONAFTAS;AGUARRAS;ASFALTOS;BASES LUBRICANTES;BENZENO;BETUN DE PETROLEO;BUTANO NO PETROQUIMICO;BUTANO PETROQUIMICO;CARBON MINERAL;CICLO HEXANO;COQUE;CORTES DE GAS OIL;DIESEL OIL;DILUYENTES;EMULSIVOS;FUEL OIL, AZUFRE <1%;FUEL OIL, AZUFRE >1%;GAS NATURAL;GAS OIL;GASOLINA NATURAL;GLP A GRANEL;GLP ENVASADO;GRASAS;HEXANO;KEROSENE;LINEAL ALQUIL BENCENO;LUBRICANTE AUTO, EXCLUIDO GRASAS;LUBRICANTE INDUSTRIAL, EXCLUIDO GRASAS;METIL TERBUTIL ETER (MTBE);NAFTA COMUN >83 RON;NAFTA COMUN CON PLOMO;NAFTA SUPER >93 RON;NAFTA SUPER CON PLOMO;NAFTA ULTRA >97 RON;NAFTA VIRGEN;OTRAS NAFTAS O CORTES DE ELLAS;OTROS ADITIVOS;OTROS PRODUCTOS PETROQUIMICOS;PARAFINAS;PETROLEO;PETROLEO CAÑADON SECO (SANTA CRUZ NORTE);PETROLEO ESCALANTE (CHUBUT);PETROLEO MAGALLANES;PROPANO NO PETROQUIMICO;PROPANO USO PETROQUIMICO;PROPELENTE;SOLVENTES ALIFATICOS;SOLVENTES AROMATICOS;SOLVENTES HEXANO;TOLUENO;VASELINA MINERAL;XILENO;;
;8;;;;233925;;39065;68404;219330.5234;;;;;;;1550585;;;188354;;4080264;;;5278784;;4623346;;5533;;;143044;;;;;;;;;;601337;;;;63714941;;;;;;;7689;;21356;;;;;;;0;;76;1261;0;;;;;;;36986;;;0;;45919;;;0;;25574.11011;;6;;;204;;;;;;;;;;0;;;;0;;;;;;;23;;62;;;;80775957.52;110111.1101
;9;;50589;;323875.25;;14475;0;295060.1875;;;;;;;1443161;;;;;;;;0;;5540282;;15492;;;;;;;;;;;;;;;;;;;;;;;;;;50144;;;;;0;;0;;51;32;0;;;;;;;31481;;;;;;;;0;;34319;;16;;;;;;;;;;;;;;;;;;;;;;;;;;145;;;;7733078.438;66044
;10;;;;380725.7969;;50211;;384735.625;;;;;;;;;;;;6382533;;;2897876.75;;5600416;;32853;;;;;;;;412016.375;;;;36687.78125;918372;;;;;;;;;;;;;;;;;;;;0;;301;;0;;;;;;;;;;;;74838;;;0;;37533;;34;;;;;;;;0;;;;0;0;;;;;;;;;;;;;;;;;17096427.33;112706
;11;;;;341608;97802.39844;98175;212218.9375;365004.719;;;;;;1718863.625;92503.70703;;;191968.1875;;3900975;;;7938445.25;;9128417.188;;23963.3999;;;181912.5;;;;;682972;;;;;;57795;;;58818719.44;;;;;;;;;34904;;;;;;;0;0;545;1305;0;;;;;;4499;3203;;;0;;42758;;;0;;53822.21082;;23;;;247;;;;;0;;;;;;0;;;0;;;;;;;;;101;;;;83886248.35;106503.2108
;12;;;;1103090.625;107322.7969;121050;1894316.037;321965.9004;;;;;;2596927;1137096.549;;;381355.125;;5154363;;;6509531.5;;9179416.625;;2391;;;;;;;;388265;;;;;;;;;95900739.17;;;;;;;121507;;40350;;;;;;;0;0;512;22614;0;;;;;;4402.640137;27683;;;0;;77047;;;0;;49289.99097;;2;;;;;;;;0;;;;;;;;;0;;;;;;;488;;125;;;;124959687.3;182163.6311
1995;1;;;;243292;38015;148336;647400;3338627;;;;;;;86077;;;186047;;;1006215;;5501717;;;7996281;22063;;;454621;;;;;10571098;;;;;302800;;;;47802338;;;;;;8241;25709;;122904;;;;;;;0;0;625;10115;10778;;;;;;;3123;;;0;;;11522;;0;;;47359;24;;;804;;;;;0;;;;;0;;;;49920;;;;;;20;92;;376;;;;78501781;134758
;2;;;;390332;;172408;2309378;269109;;;;;;;104270;;;461508;;6000;3846604;;6417514;;;9064076;27732;;;278374;;;;;7877455;;;;;2084766;;;;130829760;;;;;;;40223;;110067;;;;;;;0;;756;28094;338;;;;;;;3082;;;0;;60;45380;;0;;;51004;34;;;375;;;;;0;;;;;0;;;;44070;;;;;;;139;;342;;;;164289576;173674
;3;;;;362398;;88849;11424;559773;;;;;;;1769914;;;;;3000;3844037;;7047477;;;7321956;24213;;;55507;;;;;7224853;;;;;;;;;106571353;;;;;;;161466;;47622;;;;;;;0;;476;54;323;;;;;;;42039;;;;;26;46237;;0;;;40268;28;;;76;;;;;0;;;;;;;;;45000;;;;;;;525;;151;;;;135093842;175203
;4;;;;301746;89027;132823;11224;3296104;;;;;;;1221756;;;;;3000;;;4190174;;;8268745;33858;;;;;;;;10502208;;;;;1778356;;;;74922884;;;;;;;19604;;158558;;;;;;;0;0;626;51;8325;;;;;;;22934;;;;;27;;;0;;;46983;42;;;;;;;;0;;;;;0;;;;418565.8125;;;;;;;48;;320;;;;104930067;497921.8125
;5;;40833;;432440;70647;175071;16280;445974;;;;;;;1494250;;;;6150;;;;3284271;;;5506657;54815;;;86364;;;;;18889323;;;;;;;;;91592412;;;;;;;5654430;;111270;;;;;0;;0;0;763;74;328;;;;;;;32002;;;;0;;;;0;;;29651;64;;;104;;;;;0;;;;;;;;;41351;;;;;;;38250;;320;;;;127861187;142907
