"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1996-10-01,39324
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1996-11-01,47487
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1996-12-01,54404
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-01-01,48738
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-02-01,47560
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-03-01,63915
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-04-01,54496
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-05-01,61166
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-06-01,54029
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-07-01,79418
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-08-01,73257
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-09-01,80944
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-10-01,82937
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-11-01,60543
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1997-12-01,60528
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-01-01,57187
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-02-01,55172
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-03-01,73275
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-04-01,86034
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-05-01,88585
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-06-01,84698
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-07-01,69564
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-08-01,68549
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-09-01,73571
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-10-01,67861
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-11-01,90199
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1998-12-01,78185
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",1999-01-01,77808
