anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,unidad,ci_tot,ci_extr,ms_tot,ms_extr,consumo_k_fijo,vbp_tot,va_tot,ebe_tot,vbp_extr,ebe_extr,va_extr,fuente,pv
1951.0,barriles,24464806.08,0.0,,2.77,MMBTU,29263700.0,0.0,,,,5e-13,9.75880097164723e-13,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1952.0,barriles,24819550.799999997,0.0,,2.77,MMBTU,31664100.0,0.0,,,,5e-13,1.1935807346934453e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1953.0,barriles,28501599.72,0.0,,2.92,MMBTU,32864300.0,0.0,,,,5e-13,1.49176750286427e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1954.0,barriles,29572123.68,0.0,,2.99,MMBTU,34629300.0,0.0,,,,5e-13,1.4684626910563614e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1955.0,barriles,30504272.04,0.0,,2.93,MMBTU,37347400.0,0.0,,,,6.9e-13,1.6682030546352734e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1956.0,barriles,31011858.9,0.0,,2.94,MMBTU,40489100.0,0.0,,,,1.8e-12,1.865707016536708e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1957.0,barriles,33951711.419999994,0.0,,3.14,MMBTU,49914200.0,0.0,,,,1.8e-12,2.215620682936727e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1958.0,barriles,35656247.22,0.0,,3.0,MMBTU,58350900.0,0.0,,,,1.8e-12,2.7509601125472938e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1959.0,barriles,44578328.519999996,0.0,,3.0,MMBTU,75965600.0,0.0,,,,8.06e-12,6.661870546578436e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1960.0,barriles,63859811.05679999,0.0,,2.91,MMBTU,126162200.0,0.0,,,,8.28e-12,7.643394706684082e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
1961.0,barriles,84461610.6708,0.0,,2.85,MMBTU,173252400.0,0.0,,,,8.29e-12,7.91345035478734e-12,Millones de pesos corrientes,,,,,,,,,,,,Criterio propio,
