anio,coef_ci
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,0.6205117391080787
1993,0.6206925797466143
1994,0.6173273466455476
1994,0.617489056143594
1995,0.6161034704352405
1995,0.6162524625524829
1996,0.6090919255304758
1996,0.6093029204475741
1997,0.5987306741194501
1997,0.5989304922139586
1998,0.5352324437899859
1998,0.5353814809761257
1999,0.6126955068525004
1999,0.612834715894831
2000,0.6482183628192075
2000,0.6483086970760197
2001,0.5950813729302945
2001,0.5951755336821656
2002,0.38148979264707983
2002,0.3815160727227255
2003,0.4162878300665986
2003,0.4163217952997501
2004,0.38461158472725954
2004,0.3846439579832447
2005,0.3744084345617603
2005,0.3744084345617603
2006,0.38370715416285706
2006,0.38370715416285706
2007,0.44111199812241664
2007,0.44111199812241664
2008,0.4602018481003838
2008,0.4602018481003838
2009,0.4180982742335152
2009,0.4180982742335152
2010,0.41860471350798156
2011,0.46062224319257994
2012,0.47278752885381103
2013,0.4941421090100967
2014,0.39985028896615893
2015,0.3959354364857034
2016,0.39754473909240795
2017,0.38909789697175656
2018,0.3962113795146416
2019,0.3981888736946355
2020,0.40228030855656494
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
