"","fecha","empresa","unidad","sector","ingresos_vtas","ingresos_intersegmentos","resultado_operativo","depr_ppye","activos","tg_activo"
"63",2003-12-31,"YPF","Millones de pesos","adm_central",119,117,-311,39,7788,-0.0399332306111967
"64",2002-12-31,"YPF","Millones de pesos","upstream",1435,11239,6712,1617,17116,0.392147698060294
"65",2002-12-31,"YPF","Millones de pesos","quimica",1208,364,337,87,1159,0.29076790336497
"66",2002-12-31,"YPF","Millones de pesos","downstream",14232,772,-46,396,8357,-0.00550436759602728
"67",2002-12-31,"YPF","Millones de pesos","gas_y_energia",238,16,136,48,205,0.663414634146341
"68",2002-12-31,"YPF","Millones de pesos","adm_central",204,256,-298,32,3386,-0.0880094506792676
"69",2001-12-31,"YPF","Millones de pesos","upstream",1460,2269,2078,779,7972,0.260662318113397
"70",2001-12-31,"YPF","Millones de pesos","quimica",291,178,0,15,647,0
"71",2001-12-31,"YPF","Millones de pesos","downstream",4859,343,190,207,3975,0.0477987421383648
"72",2001-12-31,"YPF","Millones de pesos","gas_y_energia",68,11,28,4,373,0.0750670241286863
"73",2000-12-31,"YPF","Millones de pesos","adm_central",0,0,NA,12,288,NA
"74",2000-12-31,"YPF","Millones de pesos","upstream",1024,2692,2599,568,7292,0.356417992320351
"75",2000-12-31,"YPF","Millones de pesos","quimica",210,208,-4,13,609,-0.00656814449917898
"76",2000-12-31,"YPF","Millones de pesos","downstream",3529,343,3,167,4482,0.000669344042838019
"77",2000-12-31,"YPF","Millones de pesos","gas_y_energia",10,7,11,0,97,0.11340206185567
"78",2000-12-31,"YPF","Millones de pesos","adm_central",0,0,-138,31,393,-0.351145038167939
"79",1999-12-31,"YPF","Millones de pesos","upstream",777,2334,1222,601,7213,0.169416331623458
"80",1999-12-31,"YPF","Millones de pesos","downstream",3618,5,177,177,4737,0.0373654211526282
"81",1999-12-31,"YPF","Millones de pesos","adm_central",0,0,0,8,319,0
"82",1998-12-31,"YPF","Millones de pesos","upstream",756,1739,502,683,7749,0.0647825525874306
"83",1998-12-31,"YPF","Millones de pesos","downstream",3458,5,583,176,3989,0.146151917773878
"84",1998-12-31,"YPF","Millones de pesos","adm_central",0,0,-114,8,554,-0.205776173285199
