anio,unidad,variable,precio_crudo_mdoint,regalias,mecon,ypf,idee
2015.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,67.99899768540601,67.9989824795701,67.99899768540601,,
2016.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,58.10644420993779,58.10624609155565,58.10644420993779,,
2017.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,53.103430588677966,53.10330482156296,53.103430588677966,,
2018.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,63.543576328606115,63.54335590956788,63.543576328606115,,
2019.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,54.628943544960244,54.631440321366874,54.628943544960244,,
2020.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,41.31467005901155,41.30563239954636,41.31467005901155,,
2021.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,56.084874596460544,50.1764761995612,56.084874596460544,,
2022.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,66.14804903940454,,66.14804903940454,,
2023.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,64.1528736133494,,64.1528736133494,,
2024.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,70.63757168856138,,70.63757168856138,,
2025.0,USD/barriles,Precio del mercado interno del petróleo crudo según distintas fuentes,63.06461383766098,,63.06461383766098,,
