anio,unidad,regalias,mecon,ypf,idee,anuario,precio_gas_mdoint,variable
2012.0,USD/MMBTU,1.8923518738030611,1.892349330253565,,,,1.8923518738030611,Precio del mercado interno del gas natural según distintas fuentes
2013.0,USD/MMBTU,1.871133196076307,1.871139463201185,,,,1.871133196076307,Precio del mercado interno del gas natural según distintas fuentes
2014.0,USD/MMBTU,2.2874719437383644,2.2874707105194068,,,,2.2874719437383644,Precio del mercado interno del gas natural según distintas fuentes
2015.0,USD/MMBTU,2.15010809733667,2.150107433732177,,,,2.15010809733667,Precio del mercado interno del gas natural según distintas fuentes
2016.0,USD/MMBTU,3.3717001841682253,3.371700096784212,,,,3.3717001841682253,Precio del mercado interno del gas natural según distintas fuentes
2017.0,USD/MMBTU,3.9472938385292666,3.947292786546846,,,,3.9472938385292666,Precio del mercado interno del gas natural según distintas fuentes
2018.0,USD/MMBTU,4.530904612563252,4.530903550626054,,,,4.530904612563252,Precio del mercado interno del gas natural según distintas fuentes
2019.0,USD/MMBTU,3.394803658159254,3.4182038109439006,,,,3.394803658159254,Precio del mercado interno del gas natural según distintas fuentes
2020.0,USD/MMBTU,2.378767416061437,2.381127834150303,,,,2.378767416061437,Precio del mercado interno del gas natural según distintas fuentes
2021.0,USD/MMBTU,2.227510853387843,3.113889608280898,,,,2.227510853387843,Precio del mercado interno del gas natural según distintas fuentes
2022.0,USD/MMBTU,,3.4701710890115125,,,,3.4701710890115125,Precio del mercado interno del gas natural según distintas fuentes
2023.0,USD/MMBTU,,3.5905809488313754,,,,3.5905809488313754,Precio del mercado interno del gas natural según distintas fuentes
2024.0,USD/MMBTU,,3.1561033475905935,,,,3.1561033475905935,Precio del mercado interno del gas natural según distintas fuentes
2025.0,USD/MMBTU,,3.681447336456513,,,,3.681447336456513,Precio del mercado interno del gas natural según distintas fuentes
