anio,unidad_produccion,produccion_crudo,produccion_gas,produccion_total,consumo_k_fijo,ci_extr,ms_extr,ppye,tg_normal,renta_total,ipc_18,precio_referencia_externo,ppye_usd,renta_total_usd,unidad_costos,costos_totales,costos_totales_sum_gcia_normal,precio_costo,precio_costo_mmbtu,precio_produccion,precio_venta_potencial
1997.0,BEP,1914897690.70159,225693807.77198973,2140591498.47358,140.34417345891907,5041317519.340345,377755647.1277676,,,,,18.133956729083277,,,USD/boe,5419073306.812286,,2.5315775152225624,0.4365831349766388,,15.602379213860717
1997.0,BEP,1914897690.70159,225693807.77198973,2140591498.47358,140.34417345891907,5041317519.340345,377755647.1277676,,,,,18.133956729083277,,,USD/boe,5419073306.812286,,2.5315775152225624,0.4365831349766388,,15.602379213860717
1997.0,BEP,1914897690.70159,225693807.77198973,2140591498.47358,140.34417345891907,5041317519.340345,377755647.1277676,,,,,18.133956729083277,,,USD/boe,5419073306.812286,,2.5315775152225624,0.4365831349766388,,15.602379213860717
1997.0,BEP,1914897690.70159,225693807.77198973,2140591498.47358,140.34417345891907,5041317519.340345,377755647.1277676,,,,,18.133956729083277,,,USD/boe,5419073306.812286,,2.5315775152225624,0.4365831349766388,,15.602379213860717
1998.0,BEP,1944359083.6514258,235167702.82493958,2179526786.4763656,1152.2927403570995,3363777181.551746,281965007.1728061,8933.000000000015,0.135698927,,0.03968343691624254,11.559119299224387,354492141.97279525,,USD/boe,3645743341.0172925,3693847544.3129325,1.6727224293083156,0.2884693033264522,1.6947933685572016,9.886396869916071
1998.0,BEP,1944359083.6514258,235167702.82493958,2179526786.4763656,1152.2927403570995,3363777181.551746,281965007.1728061,8933.000000000015,0.135698927,,0.03968343691624254,11.559119299224387,354492141.97279525,,USD/boe,3645743341.0172925,3693847544.3129325,1.6727224293083156,0.2884693033264522,1.6947933685572016,9.886396869916071
1998.0,BEP,1944359083.6514258,235167702.82493958,2179526786.4763656,1152.2927403570995,3363777181.551746,281965007.1728061,8933.000000000015,0.135698927,,0.03968343691624254,11.559119299224387,354492141.97279525,,USD/boe,3645743341.0172925,3693847544.3129325,1.6727224293083156,0.2884693033264522,1.6947933685572016,9.886396869916071
1998.0,BEP,1944359083.6514258,235167702.82493958,2179526786.4763656,1152.2927403570995,3363777181.551746,281965007.1728061,8933.000000000015,0.135698927,,0.03968343691624254,11.559119299224387,354492141.97279525,,USD/boe,3645743341.0172925,3693847544.3129325,1.6727224293083156,0.2884693033264522,1.6947933685572016,9.886396869916071
1998.0,BEP,1944359083.6514258,235167702.82493958,2179526786.4763656,1152.2927403570995,3363777181.551746,281965007.1728061,8933.000000000015,0.135698927,,0.03968343691624254,11.559119299224387,354492141.97279525,,USD/boe,3645743341.0172925,3693847544.3129325,1.6727224293083156,0.2884693033264522,1.6947933685572016,9.886396869916071
1998.0,BEP,1944359083.6514258,235167702.82493958,2179526786.4763656,1152.2927403570995,3363777181.551746,281965007.1728061,8933.000000000015,0.135698927,,0.03968343691624254,11.559119299224387,354492141.97279525,,USD/boe,3645743341.0172925,3693847544.3129325,1.6727224293083156,0.2884693033264522,1.6947933685572016,9.886396869916071
