anio,unidad,autor,tipo_de_renta,valor,tcc,tcp,ipc_us_20
1992.0,Millones de USD,Barrera,renta_total,2407.8250270218036,0.99,1.894025275738358,0.5420329018510631
1993.0,Millones de USD,Barrera,renta_total,2264.156062187678,0.99,1.972021623383232,0.5581293828705756
1994.0,Millones de USD,Barrera,renta_total,2186.6651012396733,1.0,1.812286513626661,0.5726162157881368
1995.0,Millones de USD,Barrera,renta_total,2773.2625405477766,0.99,1.850027967708323,0.5886805038456102
1996.0,Millones de USD,Barrera,renta_total,4290.340756447779,1.0,1.700047480198135,0.6059681244605666
1997.0,Millones de USD,Barrera,renta_total,4173.060526383061,1.0,1.685374159314438,0.6201330277577377
1998.0,Millones de USD,Barrera,renta_total,2300.9094766979847,1.0,1.834025658588197,0.6297265304453671
1999.0,Millones de USD,Barrera,renta_total,3206.296374311784,1.0,1.945408423379476,0.6435373111601088
2000.0,Millones de USD,Barrera,renta_total,5356.9428818619945,1.0,1.969548988287749,0.6652031746123727
2001.0,Millones de USD,Barrera,renta_total,3954.997916542079,1.0,2.07506215718321,0.6839394785190851
2002.0,Millones de USD,Barrera,renta_total,8756.944395018189,3.14,3.101870690383393,0.6948528926503146
2003.0,Millones de USD,Barrera,renta_total,7966.306541175306,2.93,3.575691739551415,0.710820601821671
2004.0,Millones de USD,Barrera,renta_total,10495.676464973507,2.93,3.476419712823161,0.7297822564626566
2005.0,Millones de USD,Barrera,renta_total,11834.036580871789,2.928416666666667,3.913969455049009,0.7543454864984326
2006.0,Millones de USD,Barrera,renta_total,12898.50908472368,3.07775,4.120995359841515,0.7786511728378964
2007.0,Millones de USD,Barrera,renta_total,12147.500207025894,3.119166666666667,4.572715840632663,0.8010027463815915
2008.0,Millones de USD,Barrera,renta_total,13634.554067058241,3.183166666666667,5.592039744778452,0.8315606278786544
2009.0,Millones de USD,Barrera,renta_total,7111.814809038617,3.75,6.96022588383259,0.828896660269925
2010.0,Millones de USD,Barrera,renta_total,8439.619941818955,3.89,7.66405578636219,0.8424621306139295
1999.0,Millones de USD,Campodonico,renta_estado_total,785.9783344517565,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Campodonico,renta_consumidores,0.0,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Campodonico,renta_empresas,1234.8805945756255,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Campodonico,renta_total,2020.8589290273821,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Campodonico,regalias,401.7755103955625,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Campodonico,impuesto_ganancias,384.202824056194,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Campodonico,retenciones,,1.0,1.945408423379476,0.6435373111601088
2000.0,Millones de USD,Campodonico,renta_estado_total,1452.5051727150599,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Campodonico,renta_consumidores,0.0,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Campodonico,renta_empresas,2734.0375873175744,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Campodonico,renta_total,4186.542760032634,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Campodonico,regalias,642.674385405192,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Campodonico,impuesto_ganancias,809.8307873098678,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Campodonico,retenciones,,1.0,1.969548988287749,0.6652031746123727
2001.0,Millones de USD,Campodonico,renta_estado_total,1291.557309998509,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Campodonico,renta_consumidores,0.0,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Campodonico,renta_empresas,1740.3963751752956,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Campodonico,renta_total,3032.6582990908796,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Campodonico,regalias,496.7528115378881,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Campodonico,impuesto_ganancias,794.8044984606208,1.0,2.07506215718321,0.6839394785190851
2001.0,Millones de USD,Campodonico,retenciones,,1.0,2.07506215718321,0.6839394785190851
2002.0,Millones de USD,Campodonico,renta_estado_total,2782.5722927489633,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Campodonico,renta_consumidores,1094.0899433793043,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Campodonico,renta_empresas,3082.682184008799,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Campodonico,renta_total,6959.344420137067,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Campodonico,regalias,1016.8772043658515,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Campodonico,impuesto_ganancias,1137.7952673491832,3.14,3.101870690383393,0.6948528926503146
2002.0,Millones de USD,Campodonico,retenciones,627.8998210339283,3.14,3.101870690383393,0.6948528926503146
2003.0,Millones de USD,Campodonico,renta_estado_total,2629.497897463407,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Campodonico,renta_consumidores,944.1292319257036,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Campodonico,renta_empresas,2382.802347241062,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Campodonico,renta_total,5957.582259575137,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Campodonico,regalias,835.7676350990662,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Campodonico,impuesto_ganancias,1278.4362859653302,2.93,3.575691739551415,0.710820601821671
2003.0,Millones de USD,Campodonico,retenciones,515.2939763990105,2.93,3.575691739551415,0.710820601821671
2004.0,Millones de USD,Campodonico,renta_estado_total,3105.5099047440317,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Campodonico,renta_consumidores,2459.924171478166,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Campodonico,renta_empresas,1583.3596427683406,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Campodonico,renta_total,7148.793718990538,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Campodonico,regalias,973.5756227962883,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Campodonico,impuesto_ganancias,1405.505970276492,2.93,3.476419712823161,0.7297822564626566
2004.0,Millones de USD,Campodonico,retenciones,726.4283116712517,2.93,3.476419712823161,0.7297822564626566
2005.0,Millones de USD,Campodonico,renta_estado_total,3689.67472788741,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Campodonico,renta_consumidores,2942.813149903749,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Campodonico,renta_empresas,959.1170596417004,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Campodonico,renta_total,7590.61308938773,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Campodonico,regalias,979.945868589452,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Campodonico,impuesto_ganancias,1710.937877851017,2.928416666666667,3.913969455049009,0.7543454864984326
2005.0,Millones de USD,Campodonico,retenciones,998.7909814469414,2.928416666666667,3.913969455049009,0.7543454864984326
2006.0,Millones de USD,Campodonico,renta_estado_total,3995.8349207274678,3.07775,4.120995359841515,0.7786511728378964
2006.0,Millones de USD,Campodonico,renta_consumidores,3268.796305770334,3.07775,4.120995359841515,0.7786511728378964
2006.0,Millones de USD,Campodonico,renta_empresas,1304.449230002246,3.07775,4.120995359841515,0.7786511728378964
2006.0,Millones de USD,Campodonico,renta_total,8569.080456500049,3.07775,4.120995359841515,0.7786511728378964
2006.0,Millones de USD,Campodonico,regalias,1082.8846916709822,3.07775,4.120995359841515,0.7786511728378964
2006.0,Millones de USD,Campodonico,impuesto_ganancias,1808.0049989369365,3.07775,4.120995359841515,0.7786511728378964
2006.0,Millones de USD,Campodonico,retenciones,1104.9452301195497,3.07775,4.120995359841515,0.7786511728378964
1996.0,Millones de USD,Mansilla,renta_empresas,2253.986885486163,1.0,1.700047480198135,0.6059681244605666
1996.0,Millones de USD,Mansilla,renta_consumidores,450.40909339602916,1.0,1.700047480198135,0.6059681244605666
1996.0,Millones de USD,Mansilla,renta_total,4846.751300272356,1.0,1.700047480198135,0.6059681244605666
1996.0,Millones de USD,Mansilla,renta_estado_total,2142.355321390164,1.0,1.700047480198135,0.6059681244605666
1997.0,Millones de USD,Mansilla,renta_empresas,2389.116619139861,1.0,1.685374159314438,0.6201330277577377
1997.0,Millones de USD,Mansilla,renta_consumidores,228.67395753881726,1.0,1.685374159314438,0.6201330277577377
1997.0,Millones de USD,Mansilla,renta_total,4756.226957847116,1.0,1.685374159314438,0.6201330277577377
1997.0,Millones de USD,Mansilla,renta_estado_total,2138.436381168438,1.0,1.685374159314438,0.6201330277577377
1998.0,Millones de USD,Mansilla,renta_empresas,1083.178202509663,1.0,1.834025658588197,0.6297265304453671
1998.0,Millones de USD,Mansilla,renta_consumidores,374.04714906808505,1.0,1.834025658588197,0.6297265304453671
1998.0,Millones de USD,Mansilla,renta_total,2504.037859039125,1.0,1.834025658588197,0.6297265304453671
1998.0,Millones de USD,Mansilla,renta_estado_total,1046.812507461377,1.0,1.834025658588197,0.6297265304453671
1999.0,Millones de USD,Mansilla,renta_empresas,1740.4947060674567,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Mansilla,renta_consumidores,373.8189639465671,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Mansilla,renta_total,3485.781962954741,1.0,1.945408423379476,0.6435373111601088
1999.0,Millones de USD,Mansilla,renta_estado_total,1371.4682929407172,1.0,1.945408423379476,0.6435373111601088
2000.0,Millones de USD,Mansilla,renta_empresas,3092.011799615716,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Mansilla,renta_consumidores,257.9856796519654,1.0,1.969548988287749,0.6652031746123727
2000.0,Millones de USD,Mansilla,renta_total,5686.3707497252735,1.0,1.969548988287749,0.6652031746123727
