anio,ppye,tg_hidrocarburos,tg_normal,pv,subsidios,ipc_18,renta_con_tg_normal,gcia_normal_hidrocarburos,renta_total,unidad,unidad_pbi_gcia,pbi,ganancia,renta_pv,renta_pbi
1998,8933.000000000015,0.14739313549063898,0.135698927,117888.03381862564,,0.03968343691624254,2632.442463775628,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1998,8933.000000000015,0.14739313549063898,0.135698927,117888.03381862564,,0.03968343691624254,2632.442463775628,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1998,8933.000000000015,0.14739313549063898,0.135698927,117864.43394421031,,0.03968343691624254,2632.442463775628,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1998,8933.000000000015,0.14739313549063898,0.135698927,117864.43394421031,,0.03968343691624254,2632.442463775628,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1998,8933.000000000015,0.14728829678834504,0.135698927,117888.03381862564,,0.03968343691624254,2608.8425893603035,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1998,8933.000000000015,0.14728829678834504,0.135698927,117888.03381862564,,0.03968343691624254,2608.8425893603035,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1998,8933.000000000015,0.14728829678834504,0.135698927,117864.43394421031,,0.03968343691624254,2608.8425893603035,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1998,8933.000000000015,0.14728829678834504,0.135698927,117864.43394421031,,0.03968343691624254,2608.8425893603035,1212.1985148910019,,Millones de pesos de 2018,Millones de pesos corrientes,310074.15392418584,151208.5450987202,,
1999,8772.394999999997,0.14382407535192965,0.107747531,132072.9511005617,,0.03922045302242034,8069.200452866559,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
1999,8772.394999999997,0.14382407535192965,0.107747531,132072.9511005617,,0.03922045302242034,8069.200452866559,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
1999,8772.394999999997,0.14382407535192965,0.107747531,132046.0219232812,,0.03922045302242034,8069.200452866559,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
1999,8772.394999999997,0.14382407535192965,0.107747531,132046.0219232812,,0.03922045302242034,8069.200452866559,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
1999,8772.394999999997,0.1437036778399088,0.107747531,132072.9511005617,,0.03922045302242034,8042.271275586015,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
1999,8772.394999999997,0.1437036778399088,0.107747531,132072.9511005617,,0.03922045302242034,8042.271275586015,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
1999,8772.394999999997,0.1437036778399088,0.107747531,132046.0219232812,,0.03922045302242034,8042.271275586015,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
1999,8772.394999999997,0.1437036778399088,0.107747531,132046.0219232812,,0.03922045302242034,8042.271275586015,945.2039022067446,,Millones de pesos de 2018,Millones de pesos corrientes,296231.75076924334,139835.6544664368,,
