anio,unidad_cantidad,prod_crudo,expo_crudo,prod_mdo_interno,precio_interno_crudo,precio_externo_crudo,brent_iea,tcc,tcp,renta_dif_precios_crudo,renta_dif_precios_brent,unidad_precio,unidad_renta
1965.0,barriles,98276326.11719999,0.0,98276326.11719999,2.4667463058776495,3.01,,1.68e-11,1.9334847321468138e-11,0.0016467724179793797,,USD,Pesos corrientes
1966.0,barriles,104759675.84279999,19421.3608275,104740254.48197249,3.48023784540049,5.51186917079588,,2.07e-11,2.491185820885275e-11,0.006836394299399001,,USD,Pesos corrientes
1967.0,barriles,114673312.66379999,58111.59861867,114615201.06518131,2.375274253553372,1.77725277663965,,3.31e-11,3.281393980941069e-11,-0.0023270223587228177,,USD,Pesos corrientes
1968.0,barriles,125488170.89819999,1182294.78060432,124305876.11759567,2.820439441635664,1.29989324592505,,3.5e-11,3.527585316582835e-11,-0.006570875386547758,,USD,Pesos corrientes
1969.0,barriles,130081536.3606,381429.802925,129700106.55767499,2.820439441635664,2.34669654320641,,3.5e-11,3.3458068278099456e-11,-0.0026198704654870047,,USD,Pesos corrientes
1970.0,barriles,143397621.62219998,0.0,143397621.62219998,2.604216350281408,3.39,,3.77e-11,3.569785208225281e-11,0.0032747373783247585,,USD,Pesos corrientes
1971.0,barriles,154510553.4786,0.0,154510553.4786,2.1495119081687815,3.6,,4.59e-11,4.7720273050483874e-11,0.011299416478272654,,USD,Pesos corrientes
1972.0,barriles,158461780.6794,0.0,158461780.6794,1.6614200769499825,3.6,,8e-11,7.45834959761967e-11,0.02148535418605878,,USD,Pesos corrientes
1973.0,barriles,153728574.0936,0.0,153728574.0936,3.373716175395084,4.75,,8.68e-11,1.1375831475781977e-10,0.038049886828228185,,USD,Pesos corrientes
1974.0,barriles,151095236.1072,220506.44815168,150874729.65904832,7.361124360075042,15.2000997163332,,8.68e-11,1.2647585597322773e-10,0.19364771974899375,,USD,Pesos corrientes
1975.0,barriles,144465535.3152,90446.18467876,144375089.13052124,4.591560939934498,13.9260490033229,,2.57e-10,3.74002397389071e-10,0.5815926037199571,,USD,Pesos corrientes
1976.0,barriles,145592912.7774,0.0,145592912.7774,4.771216890839137,13.1,,1.83e-09,2.001721362135581e-09,2.546598094962137,,USD,Pesos corrientes
1977.0,barriles,157542721.39319998,0.0,157542721.39319998,4.779166269197749,14.4,,4.05e-09,4.817638854131992e-09,7.8800310919198315,,USD,Pesos corrientes
